id,is_primary_activity,codigo_actividad_id,company_id
2571,1,241,1352
3006,1,241,2
3007,1,241,3
3013,1,241,152
3018,1,241,252
3021,1,570,452
3022,0,562,452
3023,1,241,752
3024,1,1,802
3027,1,396,1157
3028,1,241,1253
3029,1,241,1254
3030,1,241,1255
3032,1,241,1402
4536,1,1,1603
5995,1,241,102
6181,1,241,1302
6285,1,241,154
6463,1,241,103
7072,1,241,4
7109,1,375,1102
7110,0,562,1102
7121,1,241,204
7137,1,241,153
7146,1,241,403
7148,1,241,52
7154,1,241,202
7155,1,241,5
7156,1,375,302
7157,0,562,302
