id,conversation_id,profile_id,last_notification_time
1,1,402,2024-10-27 02:32:58.261596
2,1,356,2024-10-27 02:32:55.613858
3,2,605,2024-10-28 14:23:03.570687
4,2,356,2024-10-28 14:23:01.437943
5,3,1702,
6,3,402,
7,4,1702,2024-10-29 23:02:34.909352
8,4,356,2024-10-29 23:02:38.426998
9,5,653,
10,5,356,
11,6,653,
12,6,103,
13,7,304,2024-11-22 12:42:38.643159
14,7,58,2024-10-30 06:18:52.501228
15,8,1354,2024-11-04 10:10:25.290237
16,8,206,2024-11-04 10:10:27.557313
17,9,1302,2024-11-14 10:57:16.029313
18,9,307,2024-11-14 10:57:14.817554
19,10,1303,
20,10,307,
21,11,56,
22,11,307,2024-11-08 07:51:44.958051
23,12,107,
24,12,307,
25,13,53,
26,13,307,
27,14,402,
28,14,307,
29,15,258,2024-11-18 19:56:30.750493
30,15,303,2024-11-18 19:56:15.620157
31,16,252,2024-11-12 12:06:13.771676
32,16,254,
33,17,1603,
34,17,58,
35,18,1605,
36,18,58,
37,19,1607,
38,19,58,
39,20,107,2024-11-11 12:06:11.085838
40,20,56,
41,21,5,2024-11-24 11:56:24.392118
42,21,58,2024-11-22 07:49:14.528664
43,22,2053,2024-11-18 10:30:37.644876
44,22,58,
45,23,2253,2024-10-29 05:43:55.767687
46,23,5,2024-10-29 05:43:52.596179
47,24,107,
48,24,2453,
49,25,53,
50,25,2453,
51,26,107,2024-11-23 15:20:52.701722
52,26,5,
53,27,2455,
54,27,2453,
55,28,2052,2024-11-18 10:30:56.362302
56,28,58,2024-10-25 17:55:40.481795
57,29,307,2024-11-02 05:59:32.210385
58,29,208,2024-11-02 05:59:29.661843
59,30,603,
60,30,103,
61,31,2554,
62,31,103,
63,32,2555,2024-10-27 01:57:36.537667
64,32,103,2024-10-27 01:57:39.979651
65,33,2552,2024-11-22 06:20:33.478612
66,33,103,
67,34,605,
68,34,103,
69,35,206,2024-11-03 07:19:32.630476
70,35,206,2024-11-03 07:19:29.683846
71,36,1602,
72,36,58,
73,37,56,2024-10-30 06:18:33.673173
74,37,58,2024-10-30 06:18:36.975809
75,38,52,
76,38,5,
77,39,1354,2024-11-02 19:35:15.039215
78,39,5,2024-11-02 19:35:12.230936
79,40,2456,
80,40,58,
81,41,452,
82,41,208,
83,42,58,
84,42,305,2024-11-05 19:33:25.292845
85,43,53,2024-11-03 11:22:43.475853
86,43,58,2024-11-03 11:22:40.609976
87,44,307,2024-11-03 15:50:08.781812
88,44,356,2024-11-03 15:50:11.477585
89,45,2352,2024-11-07 10:03:56.208825
90,45,2254,
91,46,303,
92,46,2254,2024-11-08 07:14:59.508745
93,47,2854,2024-11-05 11:24:16.090429
94,47,2853,2024-11-05 11:24:13.230333
95,48,307,2024-11-08 06:59:33.656380
96,48,1102,2024-11-18 10:32:12.386547
97,49,2252,2024-11-18 13:44:49.082675
98,49,303,
99,50,103,
100,50,356,2024-11-22 06:06:22.955741
101,51,1252,
102,51,303,
103,52,307,
104,52,205,
105,53,3154,
106,53,58,
107,54,2553,2024-11-22 06:06:39.152163
108,54,103,
109,55,1452,
110,55,58,
111,56,4002,
112,56,208,
