id,category,code,codigo_del_atc_version_2019,description,percent,principio_activo_atc,principio_activo_reportado_por_el_ms
1,Exento,211100010100,,"Ganado vacuno de raza pura, vivo, para producción e industria pecuaria",0,,
2,Exento,211100010200,,"Ganado vacuno ""Bos taurus"", vivo, para producción e industria pecuaria",0,,
3,Exento,211100019900,,"Ganado vacuno, vivo, para producción e industria pecuaria, n.c.p.",0,,
4,Exento,211200010100,,"Búfalos de raza pura, vivos, para producción e industria pecuaria",0,,
5,Exento,211200019900,,"Búfalos, vivos, para producción e industria pecuaria (excepto raza pura)",0,,
6,Exento,211900010100,,"Animales de la especie bovina de raza pura, vivos, para producción e industria pecuaria, n.c.p.",0,,
7,Exento,211900019900,,"Animales de la especie bovina, vivos, para producción e industria pecuaria, n.c.p.",0,,
8,Exento,212200010100,,"Ovejas de raza pura, vivas, para producción e industria pecuaria",0,,
9,Exento,212200019900,,"Ovejas, vivas, para producción e industria pecuaria, n.c.p.",0,,
10,Exento,212300010100,,"Cabras de raza pura, vivas, para producción e industria pecuaria",0,,
11,Exento,212300019900,,"Cabras, vivas, para producción e industria pecuaria, n.c.p.",0,,
12,Exento,213100010100,,"Caballos de raza pura, vivos, para producción e industria pecuaria",0,,
13,Exento,213100019900,,"Caballos, vivos, para producción e industria pecuaria, n.c.p.",0,,
14,Exento,214000010100,,"Cerdos de raza pura, vivos, para producción e industria pecuaria",0,,
15,Exento,214000019900,,"Cerdos, vivos, para producción e industria pecuaria, n.c.p.",0,,
16,Exento,215100010000,,"Pollos, vivos, para producción e industria pecuaria",0,,
17,Exento,1632002000200,,"Piedra pómez, de uso odontológico",0,,
18,Exento,2502000000100,,"Cigarros (puros), incluso despuntados y cigarritos (puritos), que contengan tabaco",0,,
19,Exento,2502000000200,,Cigarrillos que contengan tabaco,0,,
20,Exento,2616000000000,,"Algodón, desenredado y peinado",0,,
21,Exento,2686000000100,,Gasa de algodón,0,,
22,Exento,2689099000100,,"Tejidos de fibra de vidrio, utilizados para inmovilizar fracturas",0,,
23,Exento,2712001010100,,"Ropa de cama hospitalaria, estampada, de fibras sintéticas o artificiales",0,,
24,Exento,2712001010200,,"Ropa de cama hospitalaria, estampada, de fibras naturales",0,,
25,Exento,2712001020100,,"Ropa de cama hospitalaria, lisa, de fibras sintéticas o artificiales",0,,
26,Exento,2712001020200,,"Ropa de cama hospitalaria, lisa, de fibras naturales",0,,
27,Exento,2719001000200,,"Mascarillas desechables, de material textil, de uso médico",0,,
28,Exento,2719004010000,,"Mantillas, de material textil",0,,
29,Exento,2719004990200,,"Paños, franelas y artículos similares, de material textil, de uso médico",0,,
30,Exento,2791101010100,,Cintas de velcro,0,,
31,Exento,2821001000000,,Medias para várices,0,,
32,Exento,3191400991200,,"Depresores o baja lenguas, de madera",0,,
33,Exento,3219305000100,,"Batas de papel, pasta de papel, guata de celulosa o napa de fibra de celulosa, de uso medicoquirúrgico",0,,
34,Exento,3219306000100,,"Cobertores para camas o camillas, de papel, pasta de papel, guata de celulosa o napa de fibra de celulosa, de uso medicoquirúrgico",0,,
35,Exento,3219903010100,,Papel filtro para cefalometría,0,,
36,Exento,3219903010200,,Papel filtro para articular,0,,
37,Exento,3219903019900,,"Papel y cartón filtro, para laboratorio, medicina y veterinaria, n.c.p.",0,,
38,Exento,3219999000700,,"Papel para esterilizar, para laboratorio, medicina y veterinaria ",0,,
39,Exento,3219999000800,,"Puntas de papel, para laboratorio, medicina y veterinaria ",0,,
40,Exento,3221000000000,,"Libros o textos escolares, impresos",0,,
41,Exento,3222000000100,,"Diccionarios y enciclopedias (incluso en fascículos), impresos",0,,
42,Exento,3222000000200,,"Mapas y cartas geográficas en forma de libros o folletos, impresos",0,,
43,Exento,3222000009900,,"Libros de consulta general, impresos, n.c.p.",0,,
44,Exento,3229100000000,,"Libros profesionales, técnicos y académicos, impresos",0,,
45,Exento,3229200000000,,"Libros infantiles, impresos",0,,
46,Exento,3229900000100,,"Biblia, impresa",0,,
47,Exento,3229900009900,,"Libros impresos, n.c.p.",0,,
48,Exento,3331100010000,,Gasolina súper (RON 95),0,,
49,Exento,3331100020100,,"Gasolina regular (RON 91), para flota pesquera",0,,
50,Exento,3331100029900,,"Gasolina regular (RON 91), n.c.p.",0,,
51,Exento,3331200000000,,Gasolina para aviones (AV-Gas),0,,
52,Exento,3332000000100,,Jet A1 (del tipo para aviones de motor a retropropulsión),0,,
53,Exento,3333000000200,,Nafta liviana,0,,
54,Exento,3333000000300,,Nafta pesada,0,,
55,Exento,3333000009900,,"Nafta, n.c.p.",0,,
56,Exento,3334200000000,,Keroseno para aviones de motor a retropropulsión,0,,
57,Exento,3334900000000,,"Keroseno, n.c.p.",0,,
58,Exento,3336001000100,,Diésel con una densidad de 0.89 kg/litro a 0.93 kg/litro máximo,0,,
59,Exento,3336001000200,,Diésel con densidad máxima de 0.87 kg/litro,0,,
60,Exento,3336001000300,,"Diésel, para flota pesquera",0,,
61,Exento,3337099010100,,Búnker térmico,0,,
62,Exento,3337099010200,,Búnker de bajo azufre,0,,
63,Exento,3337099019900,,"Búnker C, n.c.p.",0,,
64,Exento,3342900000000,,"Gases de petróleo o hidrocarburos gaseosos, excepto gas natural, n.c.p.",0,,
65,Exento,3425003019900,,"Compuestos orgánicos e inorgánicos de mercurio, de constitución química definida, n.c.p.",0,,
66,Exento,3425003990000,,"Compuestos orgánicos e inorgánicos de mercurio, n.c.p.",0,,
67,Exento,3466401030100,,"Desinfectante a base de aceite de pino y de agentes tensoactivos de amonio cuaternario, para equipo y material biomédico",0,,
68,Exento,3466499030100,,"Desinfectante para equipo y material biomédico, n.c.p.",0,,
69,Exento,3466499039900,,"Desinfectante, para uso médico, quirúrgico y odontológico, n.c.p.",0,,
70,Exento,3532201990800,,"Detergentes y preparaciones, para lavar, de uso médico, n.c.p.",0,,
71,Exento,3532304000200,,Pasta para profilaxis,0,,
72,Exento,3532304000300,,Desensibilizante dental,0,,
73,Exento,3532304000700,,Blanqueador dental,0,,
74,Exento,3532399000200,,"Disoluciones para lentes de contacto o para ojos artificiales, incluidas las lágrimas artificiales",0,,
75,Exento,3544001020100,,Cera para odontología,0,,
76,Exento,3544001020200,,"Modelina, de uso odontológico",0,,
77,Exento,3544001020300,,"Alginatos, de uso odontológico",0,,
78,Exento,3544001020400,,"Acrílicos líquidos o en polvo, de uso odontológico",0,,
79,Exento,3544001029900,,"Pastas para moldear y compuestos de impresión, de uso odontológico, n.c.p.",0,,
80,Exento,3544002000000,,"Preparaciones para uso odontológico a base de yeso, n.c.p.",0,,
81,Exento,3544005010000,,Cinta indicadora de procesos de esterilización por gas o vapor,0,,
82,Exento,3544005020100,,Esporas de bacterias para validación de procesos de esterilización,0,,
83,Exento,3544005029900,,"Indicadores biológicos de esterilización, n.c.p.",0,,
84,Exento,3544099990100,,Prueba de embarazo,0,,
85,Exento,3544099990200,,Prueba para ovulación,0,,
