id,is_primary_activity,codigo_actividad_id,company_id
2571,1,241,1352
3006,1,241,2
3007,1,241,3
3013,1,241,152
3018,1,241,252
3021,1,570,452
3022,0,562,452
3023,1,241,752
3024,1,1,802
3027,1,396,1157
3028,1,241,1253
3029,1,241,1254
3030,1,241,1255
3032,1,241,1402
4536,1,1,1603
6181,1,241,1302
6285,1,241,154
9198,1,375,1102
9199,0,562,1102
9363,1,241,102
9542,1,241,52
9556,1,241,403
9600,1,375,302
9601,0,562,302
9666,1,241,103
9672,1,241,204
9674,1,241,153
9703,1,241,4
9704,1,241,5
9706,1,241,202
9707,1,396,1353
