id,buy_price,currency_code,date,sell_price
1,515.51,USD,2024-10-30,509.29
2,515.61,USD,2024-10-31,509.26
52,515.05,USD,2024-11-05,509.62
102,514.56,USD,2024-11-08,509.07
152,516.4,USD,2024-11-11,508.67
202,514.76,USD,2024-11-12,507.32
252,513.45,USD,2024-11-13,507.76
302,512.27,USD,2024-11-14,505.84
303,511.85,USD,2024-11-15,506.21
352,511.03,USD,2024-11-20,505.57
402,511.54,USD,2024-11-21,506.29
452,513.54,USD,2024-11-22,507.96
502,513.78,USD,2024-11-23,507.9
503,513.78,USD,2024-11-24,507.9
552,513.78,USD,2024-11-25,507.9
602,512.33,USD,2024-11-26,507.64
652,512.33,USD,2024-11-27,507.64
702,513.17,USD,2024-11-28,506.55
752,511.86,USD,2024-11-29,504.56
753,511.54,USD,2024-11-30,504.56
754,511.54,USD,2024-12-01,504.56
755,511.54,USD,2024-12-02,504.56
802,511.54,USD,2024-12-03,504.56
803,508.35,USD,2024-12-04,503.9
852,508.35,USD,2024-12-05,503.9
853,508.64,USD,2024-12-06,504.1
902,507.78,USD,2024-12-08,501.77
952,507.78,USD,2024-12-09,501.77
953,506.59,USD,2024-12-10,498.71
1002,506.75,USD,2024-12-11,500.65
1003,506.69,USD,2024-12-12,501.02
1052,507.66,USD,2024-12-13,501.82
1053,507.33,USD,2024-12-14,500.27
1102,507.33,USD,2024-12-15,500.27
1152,507.33,USD,2024-12-16,500.27
1153,505.79,USD,2024-12-17,500.21
1202,506.35,USD,2024-12-18,499.84
1252,509.95,USD,2024-12-23,504.67
1302,509.57,USD,2024-12-24,503.72
