facturas_id,linea_detalles_id
52,1
53,2
54,3
55,4
56,5
58,6
59,7
60,8
61,9
62,10
63,11
64,12
65,13
102,52
152,102
153,103
154,104
155,105
202,152
204,153
205,154
252,202
253,203
254,204
256,205
257,206
258,207
259,302
304,253
352,352
402,402
403,403
452,452
453,453
454,454
455,455
456,456
456,457
457,458
458,459
458,460
502,502
554,552
555,553
602,602
702,652
702,653
702,654
752,702
752,703
752,704
803,753
852,802
902,852
903,853
903,854
904,855
904,856
905,857
906,858
952,910
1002,1002
1003,1004
1052,1052
1053,1053
1053,1054
1053,1055
1102,1102
1103,1103
1104,1104
1105,1105
1106,1106
1107,1107
1108,1108
1109,1109
1110,1110
1111,1111
1152,1152
1153,1153
1154,1154
1155,1155
1156,1156
1157,1157
1157,1158
1158,1159
1158,1160
1159,1161
1159,1162
1202,1202
1252,1252
1252,1253
1253,1254
1253,1255
1302,1302
1352,1560
1353,1561
1402,1602
1403,1603
1404,1604
1405,1605
1406,1606
1407,1607
1408,1608
1409,1609
1410,1610
1411,1611
1412,1612
1452,1652
1502,1702
1503,1703
1504,1704
1552,1752
1552,1753
1602,1802
1602,1803
1652,1852
1653,1853
1654,1854
1655,1855
1656,1856
1657,1857
1702,1902
1752,1952
1753,1953
1754,1954
1803,2002
1852,2052
1853,2053
1854,2054
1855,2055
1855,2056
1856,2057
1902,2102
1903,2103
1952,2152
1953,2153
1954,2154
1955,2155
1956,2156
1957,2157
1958,2158
2002,2202
2052,2252
2102,2302
2152,2402
2153,2403
2202,2452
2252,2502
2253,2503
2253,2504
2254,2505
2255,2506
2302,2552
2303,2553
2304,2554
2305,2555
2306,2556
2307,2557
2308,2558
2309,2559
2310,2560
2311,2561
2312,2562
2313,2563
2314,2564
2352,2602
2353,2603
2354,2604
2355,2606
2356,2605
2357,2607
2358,2608
2359,2609
2360,2610
2361,2611
2362,2612
2402,2652
2403,2653
2404,2654
2452,2702
2453,2703
2454,2704
2455,2705
2456,2706
2457,2707
2460,2712
2461,2713
2462,2714
2463,2715
2464,2716
2465,2717
2466,2718
2467,2719
2468,2720
2502,2752
2502,2753
2503,2754
2504,2755
2505,2756
2552,2802
2553,2803
2602,2852
2652,2902
2702,2952
2703,2953
2704,2954
2705,2955
2706,2956
2707,2957
2707,2958
2708,2959
2709,2960
2710,2961
2711,2962
2712,2963
2713,2964
2714,2965
2715,2966
2716,2967
2717,2968
2718,2969
2719,2970
2752,3002
2753,3003
2754,3004
2755,3005
2756,3006
2757,3007
2758,3008
2759,3009
2802,3052
2803,3053
2804,3054
2805,3055
2806,3056
2807,3057
2807,3058
2808,3059
2809,3060
2810,3061
2811,3062
2812,3063
2813,3064
2814,3065
2852,3102
2852,3103
2853,3104
2854,3105
2855,3106
2856,3107
2857,3108
2858,3109
2859,3110
2860,3111
2861,3112
2862,3113
2863,3114
2864,3115
2865,3116
2866,3117
2867,3118
2867,3119
2868,3120
2868,3121
2869,3122
2870,3123
2902,3152
2903,3153
2904,3154
2952,3202
2953,3203
2954,3204
2955,3205
2956,3206
2957,3207
2958,3208
2959,3209
2960,3210
2961,3211
2962,3212
2963,3213
2964,3214
3002,3252
3003,3253
3004,3254
3005,3255
3006,3256
3007,3257
3052,3302
3053,3303
3102,3352
3103,3353
3104,3354
3105,3355
3106,3356
3107,3357
3108,3358
3109,3359
3110,3360
3111,3361
3112,3362
3113,3363
3114,3364
3115,3365
3116,3366
3117,3367
3118,3368
3119,3369
3120,3370
3152,3402
3202,3452
3252,3502
3302,3552
3352,3602
3353,3603
3402,3652
3403,3653
