id,base_imponible,cantidad,codigo,comment,currency_code,detalle,impuesto_neto,name,numero_linea,precio_unitario,price_with_tax,price_without_tax,sub_total,tax,unidad_medida,facturas_id,impuesto_codigo_id,impuesto_tarifa_id,nota_id
1,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,52.0,3,8,
2,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,53.0,3,8,
3,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,54.0,3,8,
4,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,55.0,3,3,
5,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,56.0,3,3,
6,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,58.0,3,3,
7,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,59.0,3,3,
8,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,60.0,3,3,
9,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,61.0,3,3,
10,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,62.0,3,3,
11,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,63.0,3,3,
12,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,64.0,3,3,
13,0.0,1,8222100000000,,CRC,Product Description,0.0,John,1,4000.0,4000.0,4000.0,4000.0,0.0,Alc,65.0,3,3,
52,10.0,3,8222100000000,,CRC,,3.9,Product 1,1,100.0,303.9,300.0,300.0,3.9,Spe,102.0,3,8,
102,0.01,1,8222100000000,,CRC,Test,0.0013,test,1,0.01,0.01,0.01,0.01,0.0,Sp,152.0,1,8,
103,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,153.0,3,8,
104,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,154.0,3,8,
105,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,155.0,1,8,
152,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,202.0,1,8,
153,7.0,1,5473000000000,,CRC,Test Electric description,0.91,Test Electric,1,7.0,7.91,7.0,7.0,0.91,Cm,204.0,2,8,
154,0.01,1,8222100000000,,USD,Articulated Bus,0.0013,Bus,1,0.01,0.01,0.01,0.01,0.0,Sp,205.0,1,8,
202,10.0,3,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.6,Tomato,1,100.0,300.6,300.0,300.0,0.6,Cm,252.0,1,3,
203,10.0,2,8222100000000,,CRC,,2.6,Product 1,2,100.0,202.6,200.0,200.0,2.6,Spe,253.0,1,8,
204,10.0,3,8222100000000,,CRC,,3.9,Product 1,1,100.0,303.9,300.0,300.0,3.9,Spe,254.0,1,8,
205,0.0,1,2132100000100,,CRC,Test description,0.0,Test name,1,2.0,2.0,2.0,2.0,0.0,h,256.0,2,2,
206,10.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.2,Tomato,1,100.0,100.2,100.0,100.0,0.2,Cm,257.0,1,3,
207,7.0,1,5473000000000,,CRC,Test Electric description,0.91,Test Electric,1,7.0,7.91,7.0,7.0,0.91,Cm,258.0,2,8,
252,0.0,1,123400010100,,USD,Test description,0.0,Tomato test,1,5.0,5.0,5.0,5.0,0.0,D,302.0,2,2,
253,0.0,1,2132100000100,,CRC,Test description,0.0,Test name,1,2.0,2.0,2.0,2.0,0.0,h,304.0,2,2,
254,0.0,1,123400010100,,USD,Test description,0.0,Tomato test,1,5.0,5.0,5.0,5.0,0.0,D,306.0,2,2,
255,0.0,1,123400010100,,USD,Test description,0.0,Tomato test,1,5.0,5.0,5.0,5.0,0.0,D,307.0,2,2,
302,0.0,1,10000500900,,,battery des,0.0,,1,100.0,100.0,100.0,100.0,0.0,A,259.0,1,3,
352,10.0,1,8222100000000,,CRC,,1.3,Product 1,1,100.0,101.3,100.0,100.0,1.3,Spe,352.0,1,8,
402,0.0,1,123,,USD,it is m3 pc,0.0,mac pc,1,1.0,1.0,1.0,1.0,0.0,1/m,402.0,1,1,
403,0.0,1,3562106000702,,CRC,Drogas productoras de dióxido de carbono,0.0,Drogas,1,10.0,10.0,10.0,10.0,0.0,I,403.0,4,3,
452,0.0,1,111100000100,,USD,testtt,0.0,test in dollars,1,20.0,20.0,20.0,20.0,0.0,1/m,452.0,1,5,
453,0.0,1,4641004000000,,USD,test,0.0,battery test in dollar,1,20.0,20.0,20.0,20.0,0.0,A,453.0,7,5,
454,0.01,1,8222100000000,,USD,Test,0.0013,test,1,0.01,0.01,0.01,0.01,0.0,Sp,454.0,1,8,
455,0.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.0,Tomato,1,100.0,100.0,100.0,100.0,0.0,Cm,455.0,1,3,
456,0.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.0,Tomato,1,100.0,100.0,100.0,100.0,0.0,Cm,456.0,1,3,
457,0.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.0,Tomato,2,100.0,100.0,100.0,100.0,0.0,Cm,456.0,1,3,
458,0.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.0,Tomato,1,100.0,100.0,100.0,100.0,0.0,Cm,457.0,1,3,
459,0.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.0,Tomato,1,100.0,100.0,100.0,100.0,0.0,Cm,458.0,1,3,
460,0.0,1,3562101000302,,CRC,Dexametasona como preparado estomatológico,0.0,Tomato,2,100.0,100.0,100.0,100.0,0.0,Cm,458.0,1,3,
502,0.0,1,8222100000000,,CRC,testDescription,0.0,testName,1,100.0,100.0,100.0,100.0,0.0,Sp,502.0,1,8,
552,10.0,1,9310210100111,,,Desbridamiento del fémur,0.4,Battery,1,10.0,10.4,10.0,10.0,0.4,Cm,554.0,3,6,
553,10.0,1,9310210100111,,,Desbridamiento del fémur,0.4,Battery,1,10.0,10.4,10.0,10.0,0.4,Cm,555.0,3,6,
602,2.0,1,2132100000100,,,Test description,0.02,Test name,1,2.0,2.02,2.0,2.0,0.02,h,602.0,2,2,
652,3.0,5,111100009900,,,para siembra (semillas),0.6,Trigo,1,3.0,15.6,15.0,15.0,0.6,A/m²,702.0,3,6,
653,4680.0,1,3563502020175,,CRC,ar,608.4,ar,2,4680.0,5288.4,4680.0,9.0,608.4,A/m²,702.0,1,8,
654,16120.0,1,422201010000,,CRC,asd,644.8,as,3,16120.0,16764.8,16120.0,31.0,644.8,Alc,702.0,6,6,
655,3.0,1,111100009900,,,para siembra (semillas),0.12,Trigo,4,3.0,3.12,3.0,3.0,0.12,A/m²,702.0,3,6,
702,3.0,5,111100009900,,,para siembra (semillas),0.6,Trigo,1,3.0,15.6,15.0,15.0,0.6,A/m²,752.0,3,6,
703,4641.57,1,3563502020175,,CRC,ar,603.4041,ar,2,4641.57,5244.97,4641.57,9.0,603.4,A/m²,752.0,1,8,
704,15987.63,1,422201010000,,CRC,asd,639.5052,as,3,15987.63,16627.14,15987.63,31.0,639.51,Alc,752.0,6,6,
705,3.0,1,111100009900,,,para siembra (semillas),0.12,Trigo,4,3.0,3.12,3.0,3.0,0.12,A/m²,752.0,3,6,
752,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,802.0,1,8,
753,38.0,1,118100000000,,,"jhfdksdkaf,mbd",3.04,jsfasdf,1,38.0,41.04,38.0,38.0,3.04,A/m,803.0,7,7,
802,2.0,1,2132100000100,,,Test description,0.02,Test name,1,2.0,2.02,2.0,2.0,0.02,h,852.0,2,2,
852,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,902.0,1,8,
853,100.0,1,8222100000000,,,,13.0,Product 1,1,100.0,113.0,100.0,100.0,13.0,Spe,903.0,1,8,
854,100.0,1,3562101000302,,,Dexametasona como preparado estomatológico,2.0,Tomato,2,100.0,102.0,100.0,100.0,2.0,Cm,903.0,1,3,
855,100.0,1,8222100000000,,,testDescription,13.0,testName,1,100.0,113.0,100.0,100.0,13.0,Sp,904.0,1,8,
856,100.0,1,8222100000000,,,test2,13.0,test2,2,100.0,113.0,100.0,100.0,13.0,Spe,904.0,1,8,
857,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,905.0,1,2,
858,210.0,1,9310201100111,,,Psicoterapia para el dolor,8.4,Product,1,210.0,218.4,210.0,210.0,8.4,Sp,906.0,2,6,
902,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,1.0
903,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,2.0
904,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,3.0
905,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,4.0
906,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,5.0
907,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,6.0
908,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,7.0
909,2.0,1,2118402000111,,,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",0.02,Water,1,2.0,2.02,2.0,2.0,0.02,h,,1,2,8.0
