id,language,user_agent,browser_language,created_at,device_type,ip,city,country,latitude,longitude,region,operating_system,raw_request_body,referrer,color_depth,height,width,time_zone,profile_id
659,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",en-US,2024-09-24 08:36:06.143,Desktop,119.73.97.104,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/dashboard/employee/edit-employee?id=2,24,864,1536,Asia/Karachi,552
1305,en-US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",en-US,2024-09-27 16:44:15.253,Desktop,197.205.56.8,Blida,DZ,36.47,2.8277,Blida,UNIX,,,24,1080,1920,UTC,805
1411,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-09-30 10:06:53.012,Desktop,102.213.69.214,Huruta,ET,8.15,39.35,Oromiya,MacOS,,http://localhost:3000/en/session-expired,30,800,1280,Africa/Addis_Ababa,302
1761,en-IN,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/129.0.6668.70 Mobile Safari/537.36",en-IN,2024-10-04 06:53:58.571,Mobile,103.87.56.114,Meerut,IN,28.98,77.7064,Uttar Pradesh,Linux,,,24,780,360,Asia/Calcutta,257
2608,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-11 10:23:54.926,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,https://dev.pamifactura.com/en/session-expired,24,864,1536,America/Los_Angeles,2002
2653,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-14 08:42:36.120,Desktop,223.123.11.124,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,https://dev.pamifactura.com/es/session-expired,24,864,1536,Asia/Karachi,106
2655,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-14 08:46:28.653,Desktop,223.123.11.124,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,54
3358,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-18 03:45:50.363,Desktop,223.123.16.254,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,http://localhost:3000/en/session-expired,24,768,1366,America/Los_Angeles,1652
3659,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-22 05:23:05.926,Desktop,188.190.74.72,Kropyvnytskyy,UA,48.5083,32.2662,Kirovohrad,Windows,,,24,720,1280,Europe/Kiev,2253
4055,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-GB,2024-10-22 15:05:02.177,Desktop,196.190.62.148,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,https://www.google.com/,24,864,1536,Africa/Nairobi,2252
4056,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-GB,2024-10-22 15:07:37.952,Desktop,196.190.62.148,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,https://www.google.com/,24,864,1536,Africa/Nairobi,2352
4058,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 01:19:39.762,Desktop,104.243.213.69,Newark,US,40.7357,-74.1724,New Jersey,Windows,,,24,768,1366,Africa/Nairobi,2057
4067,en-US,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",en-US,2024-10-23 02:16:02.971,Tablet,104.243.213.69,Newark,US,40.7357,-74.1724,New Jersey,Linux,,,24,511,566,Africa/Nairobi,2354
4070,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 02:25:44.071,Desktop,104.243.213.69,Newark,US,40.7357,-74.1724,New Jersey,Windows,,http://localhost:3000/en/dashboard/profile,24,768,1366,Africa/Nairobi,2355
4081,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 04:12:16.620,Desktop,196.191.223.8,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/accountant-clients,24,768,1366,Africa/Nairobi,2357
4082,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 04:14:58.292,Desktop,196.191.223.8,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/accountant-clients,24,768,1366,Africa/Nairobi,2358
4093,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 07:20:46.583,Desktop,146.70.63.149,New York City,US,40.7143,-74.006,New York,Windows,,https://dev.pamifactura.com/es/dashboard/lawyer-clients,24,768,1366,Africa/Nairobi,2360
4097,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 07:26:47.264,Desktop,146.70.63.149,New York City,US,40.7143,-74.006,New York,Windows,,http://localhost:3000/en/dashboard/company,24,768,1366,Africa/Nairobi,2356
4162,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-23 15:51:56.111,Desktop,196.189.144.53,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/es/dashboard/company,24,768,1366,Africa/Nairobi,2402
4277,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-24 14:18:15.523,Desktop,102.90.66.172,Enugu,NG,6.4413,7.4988,Enugu State,MacOS,,https://dev.pamifactura.com/es/login,30,1050,1680,Africa/Lagos,3
4279,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",en-US,2024-10-24 14:22:10.529,Desktop,102.90.66.172,Enugu,NG,6.4413,7.4988,Enugu State,MacOS,,https://dev.pamifactura.com/es/login,30,1050,1680,Africa/Lagos,2452
4283,es-ES,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",es-ES,2024-10-24 14:55:10.869,Desktop,152.201.119.232,Bogotá,CO,4.6097,-74.0817,Bogota D.C.,Windows,,,24,768,1366,America/Bogota,2454
4287,es-MX,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",es-MX,2024-10-24 17:24:54.880,Desktop,177.234.223.151,Guayaquil,EC,-2.1962,-79.8862,Guayas,Windows,,,24,768,1366,America/Guayaquil,2453
4296,en-US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",en-US,2024-10-24 21:31:18.716,Desktop,102.218.51.12,Addis Ababa,ET,9.025,38.7469,Addis Ababa,UNIX,,,24,1080,1920,Africa/Nairobi,252
4368,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-10-25 17:20:00.572,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/dashboard/Items,24,1080,1920,Asia/Karachi,4
4423,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-10-26 14:22:58.865,Desktop,196.190.61.119,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/accountant-clients,24,768,1366,Africa/Nairobi,1003
4776,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-10-30 10:55:26.944,Desktop,72.255.42.121,Gujranwala,PK,32.1557,74.187,Punjab,Windows,,,24,768,1366,Asia/Karachi,309
4856,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-10-30 18:01:49.998,Desktop,102.213.69.169,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Africa/Nairobi,2654
5103,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-01 18:56:32.311,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,2754
5132,en-US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-02 16:06:09.713,Desktop,196.189.144.50,Addis Ababa,ET,9.025,38.7469,Addis Ababa,UNIX,,,24,864,1536,Africa/Addis_Ababa,203
5273,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-04 18:26:57.600,Desktop,154.57.218.25,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,768,1366,Asia/Karachi,2802
5303,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-05 09:02:39.563,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2804
5304,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-05 09:04:04.700,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2803
5359,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-05 10:10:53.861,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2805
5365,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-05 10:22:12.067,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2852
5378,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",en-US,2024-11-05 11:21:04.558,Desktop,196.20.219.12,Port Louis,MU,-20.1619,57.4989,Port Louis,MacOS,,,24,956,1470,Indian/Mauritius,2854
5428,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",en-US,2024-11-05 20:11:33.639,Desktop,196.20.185.189,Port Louis,MU,-20.1619,57.4989,Port Louis,MacOS,,https://dev.pamifactura.com/en,24,956,1470,Indian/Mauritius,2853
5522,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-07 07:39:57.926,Desktop,196.189.144.244,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,https://dev.pamifactura.com/en/login,24,768,1366,Africa/Nairobi,2359
5619,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-07 12:39:17.105,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2952
5804,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-07 21:44:37.613,Desktop,202.47.51.112,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,3003
5827,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-08 07:15:33.419,Desktop,23.249.172.87,New York City,US,40.749,-73.9865,New York,Windows,,https://dev.pamifactura.com/en/session-expired,24,768,1366,Africa/Nairobi,2254
5914,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-08 13:33:48.185,Desktop,37.19.221.239,Houston,US,29.7633,-95.3633,Texas,Windows,,https://dev.pamifactura.com/en/dashboard/company,24,960,1707,America/New_York,3052
5940,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-GB,2024-11-08 15:07:19.046,Desktop,196.191.221.63,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/company,24,864,1536,Africa/Nairobi,2503
6052,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",en-US,2024-11-09 13:47:44.689,Desktop,102.218.51.211,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,https://dev.pamifactura.com/en/session-expired,24,864,1536,Africa/Nairobi,3102
6314,en-US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",en-US,2024-11-11 10:52:51.951,Desktop,154.121.30.112,Algiers,DZ,36.7323,3.0875,Algiers,UNIX,,http://localhost:3000/es/dashboard/company,24,1080,1920,UTC,953
6892,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-13 09:46:10.056,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,3352
7220,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-13 17:32:14.086,Desktop,196.189.144.131,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/login,24,720,1280,Africa/Nairobi,3452
7235,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-13 18:16:06.772,Desktop,175.107.215.10,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,768,1366,Asia/Karachi,3155
