id,description,name,role_section_id
11,Menu item for sending facturas.,Sender_Factura,4
12,Menu item for sending tickets.,Sender_Ticket_Electronic,4
13,Menu item for sending receipts.,Sender_Receipt,4
14,Menu item for accessing received facturas.,Receiver_Factura,3
15,Menu item for sending quotes.,Sender_Quote,4
16,Menu item for sending active facturas.,Sender_Factura_Activa,7
18,Menu item for connections.,Connections,1
19,Menu item for quote requests.,Quote_Request,1
20,Menu item for generating simple reports.,Reports_Simple,1
21,Menu item for managing subscriptions.,Subscriptions,1
22,Menu item for internal functionalities.,Internal,9
23,Menu item for free trial access.,Free_Trial,10
24,Menu item for invitee functionalities.,Invitee,11
25,Menu item for contractor functionalities.,Contractor,5
26,Menu item for lawyer functionalities.,Lawyer,5
27,Menu item for accountant functionalities.,Accountant,5
28,Menu item for employer functionalities.,Employers,6
29,Menu item for employee functionalities.,Employees,6
30,Menu item for sending active quotes.,Quote_Activa,7
31,Menu item for sending active facturas.,Factura_Activa,7
32,Menu item for generating simple reports.,Simple_Reports,8
33,Menu item for generating advanced reports.,Advanced_Reports,8
34,Menu item for accessing received tickets.,Receiver_Ticket_Electronic,2
35,Menu item for accessing products.,Products,7
36,Menu item for viewing statistics.,Statistics,9
37,Menu item for importing facturas.,Factura,9
38,Menu item for verifying facturas.,Verify Factura,9
39,Menu item for configuration settings.,Configuration,9
41,Menu item for accessing accountant clients functionality.,Accountant_Clients,12
42,Menu item for accessing accountant clients functionalities.,Lawyer_Clients,13
43,Menu item for accessing vendors functionalities.,Vendors,1
