id,content,timestamp,conversation_id,sender_profile_id
1,"Hello, Yassine!",2024-10-18 11:08:37.021,1,356
2,Hello,2024-10-18 23:42:25.073,1,356
3,Welcome,2024-10-18 23:44:50.049,1,402
4,Empty Message,2024-10-18 23:49:12.952,1,402
5,Empty Message,2024-10-18 23:49:13.387,1,402
6,Empty Message,2024-10-18 23:49:14.056,1,402
7,Empty Message,2024-10-18 23:49:14.384,1,402
8,Empty Message,2024-10-18 23:49:14.617,1,402
9,Empty Message,2024-10-18 23:49:14.869,1,402
10,Empty Message,2024-10-18 23:49:15.203,1,402
11,Empty Message,2024-10-18 23:49:25.003,1,356
12,Empty Message,2024-10-18 23:52:42.523,1,356
13,Hello,2024-10-20 10:40:43.393,2,356
14,world,2024-10-20 10:56:50.890,2,356
15,Hello,2024-10-20 10:58:45.195,2,356
16,Hello,2024-10-20 11:02:40.107,4,356
17,Palao,2024-10-20 11:33:40.823,1,402
18,Palao,2024-10-20 11:34:29.836,1,402
19,Yes,2024-10-20 11:49:30.361,1,402
20,Hello,2024-10-20 12:34:49.659,1,356
21,Yes,2024-10-20 12:37:29.679,1,402
22,Hello,2024-10-20 12:40:32.762,1,356
23,"Hello Fake, How are you?",2024-10-20 12:45:11.584,3,402
24,I'm fine. What do you do?,2024-10-20 12:47:02.649,3,1702
25,I'm working on the pamifactura web application.,2024-10-20 13:05:25.444,3,402
26,"Hi, Rayhanul Dev.",2024-10-21 08:56:24.249,4,1702
27,I'm fine. What do you do?,2024-10-21 11:07:15.640,4,356
28,from here,2024-10-21 11:07:47.881,4,1702
29,"Hello, Yassine!",2024-10-21 11:11:10.292,4,356
30,Test,2024-10-21 11:12:00.569,4,1702
31,Hello again,2024-10-21 11:28:32.947,1,356
32,Hello,2024-10-21 11:56:09.313,6,103
33,Hola Fernando,2024-10-21 17:59:05.192,9,307
34,Holas Kania :-),2024-10-21 17:59:23.112,10,307
35,Hello Ashir :-),2024-10-21 17:59:37.871,11,307
36,Hello Hassan :-),2024-10-21 17:59:49.900,12,307
37,Hello Dmytro :-),2024-10-21 18:00:02.309,13,307
38,Hello Ray,2024-10-21 18:00:17.867,14,307
39,Hello,2024-10-22 17:16:54.383,7,58
40,hi,2024-10-23 04:12:58.515,7,58
41,hello,2024-10-23 07:08:46.839,16,254
42,hi ,2024-10-23 07:39:46.228,11,56
43,Hello,2024-10-23 16:14:49.207,12,307
44,hello,2024-10-23 16:38:32.251,13,53
45,hi,2024-10-23 17:28:04.079,7,58
46,"Hi hassan, are you here",2024-10-24 13:57:52.161,7,58
47,Hi  there,2024-10-24 13:58:28.516,19,58
48,Hi dmytro. are you there,2024-10-24 14:04:49.131,21,58
49,hello,2024-10-24 14:18:44.949,11,56
50,hello,2024-10-24 14:19:15.548,12,107
51,Hello,2024-10-24 14:19:41.534,21,5
52,please send me a message,2024-10-24 14:20:34.187,21,5
53,Hi there i am yonas,2024-10-24 14:20:57.384,21,58
54,Hi dmytro,2024-10-24 14:21:47.993,21,58
55,hola,2024-10-24 14:49:25.448,24,2453
56,hola,2024-10-24 14:50:34.049,25,2453
57,?,2024-10-24 15:10:37.336,24,107
58,Hello test 1,2024-10-24 15:10:43.855,26,5
59,?,2024-10-24 15:10:47.914,26,107
60,hello 2,2024-10-24 15:11:21.541,26,5
61,Hello ,2024-10-24 15:20:35.431,26,5
62,holaaaaaaaaaaa,2024-10-24 17:27:50.107,27,2453
63,hi,2024-10-24 21:31:41.025,16,252
64,hello,2024-10-25 12:30:39.598,28,58
65,test,2024-10-25 17:55:40.449,28,58
66,Please check the message,2024-10-25 17:57:04.481,29,208
67,Please check the message,2024-10-25 17:57:06.312,29,208
68,"Hello, ",2024-10-27 01:57:36.506,32,103
69,How do you do?,2024-10-27 02:32:55.584,1,402
70,I'm working on the messaging system,2024-10-27 02:34:07.346,1,356
71,Wow! nice,2024-10-27 02:34:48.687,1,402
72,Thanks,2024-10-27 02:35:11.912,1,356
73,hi,2024-10-28 10:11:01.375,8,206
74,hi,2024-10-28 10:11:04.156,8,206
75,testing,2024-10-28 13:08:32.473,8,206
76,I used two interval for two screen for refresh evey 5 seconds,2024-10-28 14:23:01.407,2,356
77,hi,2024-10-29 05:43:52.557,23,5
78,hi,2024-10-29 07:01:09.340,35,5
79,testing,2024-10-29 07:01:57.912,35,5
80,Hi zeeshan,2024-10-29 07:02:34.955,35,5
81,Welcome,2024-10-29 23:02:34.861,4,356
82,selam,2024-10-30 06:18:33.650,37,58
83,hello,2024-10-30 06:18:52.477,7,58
84,Hi zeeshan,2024-10-30 12:11:25.976,35,5
85,im here,2024-10-30 12:13:34.345,35,5
86,hello,2024-10-30 12:23:47.999,35,5
87,helloooo,2024-10-30 12:24:54.310,35,5
88,hyy,2024-10-30 12:25:06.403,35,206
89,hyy,2024-10-30 15:32:49.519,21,5
90,hyy,2024-10-30 15:32:50.662,21,5
91,hy,2024-10-30 15:37:22.895,21,5
92,hello,2024-10-30 15:38:44.920,21,5
93,hy,2024-10-30 15:42:10.994,35,206
94,hy,2024-10-30 15:42:11.491,35,206
95,hy,2024-10-30 15:42:47.050,35,5
96,test,2024-10-30 15:43:13.250,35,5
97,ee,2024-10-30 17:10:01.484,35,5
98,ee,2024-10-30 17:10:02.838,35,5
99,ee,2024-10-30 17:10:03.274,35,5
100,Hi zeeshan,2024-10-30 17:59:49.270,35,5
101,testing,2024-10-30 18:31:16.530,35,5
