profile_id,accountants_id
5,52
5,1304
5,1802
52,1
52,2
54,553
54,554
54,1102
56,552
56,2554
56,2755
58,153
58,1402
58,2202
103,452
107,504
202,2003
206,1753
206,2655
208,2004
208,2102
254,1002
255,602
255,802
256,402
303,2760
305,2352
307,204
307,502
307,2252
309,152
356,852
356,1054
356,1656
402,1052
452,202
453,203
503,252
503,253
552,302
604,353
805,902
1802,1702
1803,1703
2057,1152
2057,1153
2352,1352
2453,1403
2453,1404
2453,1405
2852,1803
2853,1804
2902,1853
2902,1855
3302,1902
3552,2152
3552,2153
4504,2453
4504,2659
4504,2664
4504,2665
4504,2666
4504,2667
4504,2668
4504,2669
4703,2559
4703,2660
4704,2405
4854,2762
5154,2652
5177,2704
5256,2757
