profile_id,connections_id
53,52
53,903
53,1315
53,1402
58,1358
58,2002
103,603
107,1911
205,854
208,1853
255,1502
258,202
258,205
303,1652
307,502
307,503
307,1153
307,1154
307,1852
356,1604
402,702
402,1252
605,302
605,304
653,1357
805,107
953,1
953,3
953,105
953,108
953,109
954,2
1053,102
1053,104
1152,106
1153,110
1154,112
1155,113
1156,114
1156,115
1202,152
1252,206
1303,952
1303,1311
1354,252
1403,1340
1403,1703
1702,556
2052,1207
2052,2005
2360,352
2361,353
2362,354
2402,402
2456,1312
2653,802
3154,652
3552,752
3805,852
3852,1803
3952,1002
4053,1053
4053,1316
4054,1054
4102,1102
4202,1202
4302,1339
4302,2004
4303,1310
4304,1359
4403,1354
4404,1356
4503,1452
4503,1453
4504,1905
4608,1454
4611,1455
4613,1457
4616,1458
4617,1459
4619,1461
4703,1503
4704,1609
4704,1802
4705,1504
4705,1654
4706,1505
4707,1506
4708,1507
4710,1508
4711,1509
4712,1510
4713,1511
4714,1512
4715,1513
4717,1514
4718,2008
4752,1552
4802,1603
4802,1605
4804,1607
4854,2006
4855,1653
4952,1903
4952,1909
5060,1804
5156,1902
5158,1906
5160,1908
5168,1955
5206,1956
5304,2052
