id,base_imponible,codigo,detalle,name,precio_unitario,price_with_tax,price_without_tax,quantity,tax,unidad_medida,currency_id,impuesto_codigo_id,impuesto_tarifa_id
1,7.0,5473000000000,Test Electric description,Test Electric,7.0,7.91,7.0,1,0.91,Cm,37,2,8
2,10.0,8222100000000,,Product 1,100.0,101.3,100.0,1,1.3,Spe,37,1,8
3,0.0,131800020500,"Piña ""champaca"", fresca o refrigerada",Desktop,6.0,6.0,6.0,1,0.0,Alc,37,7,2
4,0.0,8876500000000,Articulated Bus,Bus,5.0,5.0,5.0,1,0.0,h,37,6,7
5,0.0,196112000000,"Plantas vivas de las especies: Cycas sp. (Revoluta y Circinalis), Zamia sp. (Furfurácea y Floridana), Dioon Edule, Neodypsis Decaryi y Orquídeas sp. (Phalaenopsis sp.), Euphorbia tirucalli, Tillandsia sp.",Plantas,7.0,7.0,7.0,1,0.0,Alc,37,2,8
52,10.0,8222100000000,,Product 1,100.0,101.3,100.0,1,1.3,Spe,37,1,8
102,0.0,422201010000,asd,as,31.0,31.0,31.0,1,0.0,Alc,149,6,6
103,0.0,422201010000,asd,as,31.0,31.0,31.0,1,0.0,Alc,149,6,6
152,0.0,8222100000000,testDescription,testName,100.0,100.0,100.0,1,0.0,Sp,37,1,8
202,0.0,677689832,travdel compnay,hjdfs,4.0,4.0,4.0,1,0.0,Al,37,5,5
252,12.0,111100000100,Eiusmod eu quae quos,Genevieve Howard,12.0,12.12,12.0,1,0.12,A/m,149,1,2
253,0.0,123400010100,Test description,Tomato test,5.0,5.0,5.0,1,0.0,D,149,2,2
254,7.0,5473000000000,Test Electric description,Test Electric,7.0,7.91,7.0,1,0.91,Cm,37,2,8
302,0.0,422201010000,asd,as,31.0,31.0,31.0,1,0.0,Alc,149,6,6
352,0.0,112299010200,"Maíz, desgranado, seco, para producción de alimento para animales, n.c.p.",Maiz,0.0,0.0,0.0,1,0.0,Al,37,3,2
353,0.0,9310210100111,Desbridamiento del fémur,Battery,10.0,10.0,10.0,1,0.0,Cm,37,3,6
354,0.0,114200000100,"Sorgo, para producción de alimento para animales",Lorcaserin,10.0,10.0,10.0,1,0.0,Cm,37,2,2
402,0.0,677689832,travdel compnay,hjdfs,0.0077,0.01,0.01,1,0.0,Al,37,5,5
452,0.0,118100000000,"jhfdksdkaf,mbd",jsfasdf,38.0,41.04,38.0,1,3.04,A/m,37,7,7
502,9.99,2118402000111,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",TEST,9.99,10.09,9.99,1,0.1,1/m,149,1,2
503,9.99,2118402000111,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",TEST,9.99,10.09,9.99,1,0.1,1/m,149,1,2
504,9.99,2118402000111,"Paté, con predominio de carne de cerdo (de 51% a menos de 100%)",TEST,9.99,10.09,9.99,1,0.1,1/m,149,1,2
552,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
553,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
554,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
555,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
602,10.0,3562108000111,Lorcaserin,test,10.0,10.2,10.0,1,0.2,Spe,37,1,3
652,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
702,2.0,3562108000111,Lorcaserin,mac pc,2.0,2.04,2.0,1,0.04,h,149,1,3
752,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
753,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
802,0.0,3562201000111,Tioclomarol,Ashir Zuhaib ,-2.0,-2.04,-2.0,1,-0.04,Alc,37,2,3
803,0.0,3562201000111,Tioclomarol,Ashir Zuhaib ,-2.0,-2.04,-2.0,1,-0.04,Alc,37,2,3
804,10.0,3562101000302,Dexametasona como preparado estomatológico,Tomato,100.0,102.0,100.0,1,2.0,Cm,37,1,3
805,10.0,3562101000302,Dexametasona como preparado estomatológico,Tomato,100.0,102.0,100.0,1,2.0,Cm,37,1,3
852,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
853,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
854,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
902,1.0,111200000200,2,2,512.34,532.83,512.34,1,20.49,Al,149,2,4
903,1111.0,111100000100,1,1,1111.0,1133.22,1111.0,1,22.22,1/m,37,1,3
904,0.0,8222100000000,testDescription,testName,100.0,113.0,100.0,1,13.0,Sp,37,1,8
1002,10.0,3562108000111,Lorcaserin,Lorcaserin,5202.9,5306.96,5202.9,1,104.06,1/m,149,7,3
