quote_id,quote_products_id
402,402
452,452
652,702
702,752
752,803
753,804
754,805
804,854
852,902
853,903
854,904
902,1002
952,1052
1002,1102
1103,1203
1104,1204
1152,1252
1202,1302
1202,1303
1202,1304
1252,1352
1252,1353
1252,1354
1253,1355
1253,1356
1254,1357
1254,1358
1255,1359
1302,1406
1303,1409
1303,1410
1305,1411
1352,1453
1407,1504
1409,1506
1453,1552
1508,1603
1511,1608
1511,1609
1512,1610
1513,1611
1514,1612
1515,1613
1515,1614
1516,1615
1517,1616
1518,1617
1519,1618
1520,1619
1521,1620
1522,1621
1523,1622
1524,1623
1525,1624
1526,1625
1527,1626
1528,1627
1528,1628
1529,1629
1530,1630
1531,1631
1532,1632
1533,1633
1534,1634
1535,1635
1536,1636
1537,1637
1538,1638
1539,1639
1540,1640
1541,1641
1542,1642
1552,1652
1606,1704
1607,1705
1608,1706
1611,1708
1612,1709
1752,1752
1802,1802
1952,1952
