id,created_at,end_date,start_date,consumer_profile_id,contractor_profile_id,message
1,2024-11-14 12:35:13.500,2024-11-14,2024-11-13,356,3502,
2,2024-11-14 15:39:28.694,2024-11-18,2024-11-13,356,1702,
3,2024-11-14 15:59:22.444,2024-11-20,2024-11-13,356,103,
4,2024-11-15 11:35:44.921,2024-11-14,2024-11-13,5,3502,
5,2024-11-15 14:01:28.147,2024-11-19,2024-11-13,103,356,
6,2024-11-15 15:16:14.725,2024-11-26,2024-11-14,3503,356,
7,2024-11-15 15:20:31.678,2024-12-04,2024-11-15,3503,103,
8,2024-11-15 15:22:38.384,2024-11-19,2024-11-14,356,402,
52,2024-11-15 16:28:19.313,2024-11-26,2024-11-14,356,103,
102,2024-11-18 14:28:37.976,2024-11-25,2024-11-17,356,402,
103,2024-11-18 15:06:51.166,2024-11-19,2024-11-17,356,402,
152,2024-11-19 12:28:07.112,2024-11-25,2024-11-18,356,1702,
153,2024-11-19 14:45:14.712,2024-11-25,2024-11-18,356,653,
202,2024-11-20 02:36:19.988,2024-11-23,2024-11-19,356,103,
255,2024-11-24 22:27:39.235,,,58,3805,dummy text
256,2024-11-24 22:31:34.217,2024-11-29,2024-11-20,58,3805,new quote request from yonas
257,2024-11-24 22:37:38.593,2024-11-03,2024-11-03,58,3806,this quote request
258,2024-11-24 22:38:42.669,2024-11-28,2024-10-31,58,205,quote from yonas
259,2024-11-24 22:46:07.555,,,58,205,new quote
302,2024-11-24 23:02:44.917,2024-11-28,2024-11-13,58,205,new request for yassine
303,2024-11-25 02:28:08.777,2024-11-28,2024-11-25,307,3852,I have a customer looking for 2 rooms for 4 nights. Can you send me a quote?
304,2024-11-25 12:51:52.393,2024-11-27,2024-11-24,5,53,Test message
352,2024-11-25 18:49:45.063,,,307,3952,test
452,2024-11-26 15:47:44.285,,,56,2052,Test Request
453,2024-11-26 15:50:14.882,,,56,4053,test
454,2024-11-26 16:00:52.541,,,5,53,Test with  company name 
455,2024-11-26 16:07:51.026,,,5,4054,Test company name 
502,2024-11-26 16:43:50.024,,,56,2052,ttt
503,2024-11-26 16:46:03.665,,,56,4102,New request
552,2024-11-26 16:54:41.279,,,5,4054,Test message 
602,2024-11-26 17:12:31.906,,,56,2052,any request
603,2024-11-26 17:16:52.656,,,56,2052,tert
604,2024-11-26 17:18:32.445,,,56,2052,testttt
605,2024-11-26 17:19:12.128,,,56,2052,sfdsdgfds
606,2024-11-26 18:09:08.444,2024-11-25,2024-11-18,56,2052,yyy
652,2024-11-27 02:51:08.419,2024-11-27,2024-11-27,307,4202,Please give me a quote on two surf lessons for tomorrow
653,2024-11-27 09:28:09.840,,,58,2052,2625652
702,2024-11-28 00:16:31.009,2024-11-27,2024-11-02,208,307,Sample Quote Request
703,2024-11-28 09:27:18.402,2024-11-29,2024-11-27,356,103,Quote request message
704,2024-11-28 19:57:27.173,2024-12-09,2024-11-29,356,103,Send a quote request for test
705,2024-11-28 20:13:22.182,2024-12-06,2024-11-29,103,356,test
752,2024-11-29 07:56:41.053,2024-11-29,2024-11-28,56,1403,test tt
753,2024-11-29 07:57:51.088,2024-11-08,2024-10-31,56,4302,test 22
754,2024-11-29 08:22:56.182,2024-11-29,2024-11-28,103,356,Test
755,2024-11-29 08:25:30.378,2024-11-28,2024-11-27,356,103,Test
756,2024-11-29 08:35:02.603,2024-11-29,2024-11-28,356,103,Test from dev
757,2024-11-29 11:03:07.861,2024-11-29,2024-11-28,56,4303,Ss
758,2024-12-02 03:22:01.230,2024-12-03,2024-11-30,58,4302,zas
759,2024-12-02 03:38:28.450,2024-12-19,2024-11-11,58,1403,aaa
760,2024-12-02 04:34:08.218,2024-12-09,2024-12-01,58,1403,qqq
762,2024-12-02 04:36:32.362,2024-12-09,2024-12-01,58,4302,aaa
763,2024-12-02 05:06:32.096,2024-11-30,2024-11-14,58,1403,aa
764,2024-12-02 05:59:15.108,2024-12-01,2024-11-30,58,4302,qww
765,2024-12-02 06:25:43.994,2024-12-01,2024-11-30,58,1403,qwe
766,2024-12-02 06:32:43.826,2024-12-02,2024-12-01,58,4302,ssd
802,2024-12-02 07:27:09.072,2024-11-30,2024-11-30,58,1403,asd
852,2024-12-02 22:52:27.750,2024-12-29,2024-12-06,307,4403,yehyeyhjejej
853,2024-12-03 05:07:22.196,2024-12-09,2024-12-02,103,356,Test from blast emails
854,2024-12-03 05:07:23.521,2024-12-09,2024-12-02,103,402,Test from blast emails
855,2024-12-03 05:09:45.069,2024-12-16,2024-12-02,103,356,Test from single email
856,2024-12-03 05:33:33.474,2024-12-28,2024-12-27,307,4404,Quote Request
857,2024-12-03 05:37:06.201,2024-12-27,2024-12-03,307,4404,iudsrhgoi
858,2024-12-03 06:09:42.278,2024-12-10,2024-12-02,356,103,Test after remove some fields
859,2024-12-03 06:09:44.472,2024-12-10,2024-12-02,356,402,Test after remove some fields
860,2024-12-03 06:10:52.693,2024-12-13,2024-12-02,356,103,Test in single
861,2024-12-03 09:20:17.896,2024-12-11,2024-12-02,103,356,Test from ........
862,2024-12-03 09:20:20.011,2024-12-11,2024-12-02,103,402,Test from ........
863,2024-12-03 09:20:21.318,2024-12-11,2024-12-02,103,653,Test from ........
864,2024-12-03 09:27:16.380,2024-12-10,2024-12-02,103,356,single
865,2024-12-04 06:01:18.540,2024-12-26,2024-12-04,56,4304,35465
866,2024-12-04 06:27:38.887,2024-12-04,2024-12-02,56,4304,AD
867,2024-12-04 07:12:34.248,2024-12-16,2024-12-03,103,356,Test message
903,2024-12-05 07:34:21.377,2024-12-18,2024-12-05,103,356,Message
904,2024-12-05 07:35:34.954,2024-12-18,2024-12-05,103,402,Test message
952,2024-12-05 07:49:47.162,2024-12-15,2024-12-05,103,356,Test for three emails
953,2024-12-05 07:49:49.058,2024-12-15,2024-12-05,103,653,Test for three emails
1002,2024-12-11 09:38:48.665,2024-12-18,2024-12-11,103,402,Message
1003,2024-12-11 09:38:53.574,2024-12-18,2024-12-11,103,356,Message
1004,2024-12-11 09:38:57.200,2024-12-18,2024-12-11,103,653,Message
1005,2024-12-11 10:39:00.406,2024-12-15,2024-12-11,356,402,I need a new car part. How much?
1006,2024-12-11 10:39:04.065,2024-12-15,2024-12-11,356,4802,I need a new car part. How much?
1052,2024-12-16 08:23:37.892,2024-12-18,2024-12-16,103,402,A quote message
1053,2024-12-17 07:22:09.143,2024-12-10,2024-12-01,58,5060,hjjffdhg
1102,2024-12-18 05:57:37.914,2024-12-18,2024-12-19,303,1252,sdfghjkl;lkjhygfr
1152,2024-12-20 08:26:16.633,2024-12-25,2024-12-20,103,402,Message
1204,2024-12-23 07:23:37.173,2024-12-26,2024-12-25,103,653,test
1252,2024-12-24 19:13:36.112,2024-12-31,2024-12-27,103,402,quote request details
