id,created_at,end_date,start_date,updated_at,subscription_plan_id,tilo_pay_modality_id,canceled_at
102,2024-08-08 07:46:29.718,2025-09-09 02:48:29.002,2024-08-08 07:46:29.713,2024-09-09 02:48:29.005,,152,
204,2024-09-09 12:07:50.864,2025-10-09 03:04:05.232,2024-09-09 12:07:50.860,2024-10-09 03:04:05.241,,152,
302,2024-12-09 11:27:58.808,2025-01-09 00:00:00.000,2024-12-09 11:27:58.804,2024-12-09 11:27:58.808,,457,
303,2024-12-09 11:38:29.469,2025-01-09 00:00:00.000,2024-12-09 11:38:29.467,2024-12-09 11:38:29.469,,460,
304,2024-12-10 11:07:09.052,2025-01-10 00:00:00.000,2024-12-10 11:07:09.047,2024-12-10 11:07:09.052,,463,
352,2024-12-11 08:05:03.692,2025-12-11 00:00:00.000,2024-12-11 08:05:03.690,2024-12-11 08:05:03.692,,461,
353,2024-12-11 09:15:31.691,2025-01-11 00:00:00.000,2024-12-11 09:15:31.674,2024-12-11 09:15:31.691,,453,
402,2024-12-11 10:27:38.362,2025-01-11 00:00:00.000,2024-12-11 10:27:38.356,2024-12-11 11:20:55.691,,454,2024-12-11 11:20:55.689
403,2024-12-11 11:12:40.641,2025-01-11 00:00:00.000,2024-12-11 11:12:40.640,2024-12-11 11:12:40.641,,457,
404,2024-12-11 11:18:46.698,2025-01-11 00:00:00.000,2024-12-11 11:18:46.696,2024-12-11 11:18:46.698,,456,
405,2024-12-11 11:22:38.014,2025-01-11 00:00:00.000,2024-12-11 11:22:38.012,2024-12-11 11:22:38.014,,456,
452,2024-12-13 08:39:47.005,2025-01-13 00:00:00.000,2024-12-13 08:39:47.003,2024-12-16 13:39:35.249,,452,2024-12-16 13:39:35.246
