subscription_access_rule_id,functionality_resource_list_id
11,25
11,26
11,27
11,18
11,19
11,20
11,21
11,34
11,32
11,35
11,39
12,25
12,26
12,27
12,18
12,19
12,20
12,21
12,34
12,32
12,35
12,39
13,25
13,26
13,27
13,18
13,19
13,20
13,21
13,34
13,32
13,35
13,39
13,14
14,25
14,26
14,27
14,18
14,19
14,20
14,21
14,34
14,32
14,35
14,39
14,14
14,11
14,12
14,13
14,37
14,38
15,25
15,26
15,27
15,18
15,19
15,20
15,21
15,34
15,32
15,35
15,39
15,14
15,11
15,12
15,13
15,37
15,38
15,15
15,16
16,25
16,26
16,27
16,18
16,19
16,20
16,21
16,34
16,32
16,35
16,39
16,14
16,11
16,12
16,13
16,37
16,38
16,15
16,16
16,28
16,29
20,25
20,26
20,27
20,18
20,19
20,20
20,21
20,34
20,32
20,35
20,39
20,14
20,11
20,12
20,13
20,37
20,38
20,15
20,16
20,28
20,29
20,42
21,25
21,26
21,27
21,18
21,19
21,20
21,21
21,34
21,32
21,35
21,39
21,14
21,11
21,12
21,13
21,37
21,38
21,15
21,16
21,28
21,29
21,41
0,25
0,26
0,27
0,18
0,19
0,20
0,21
0,34
0,32
0,35
0,39
1,25
1,26
1,27
1,18
1,19
1,20
1,21
1,34
1,32
1,35
1,39
2,25
2,26
2,27
2,18
2,19
2,20
2,21
2,34
2,32
2,35
2,39
2,14
3,25
3,26
3,27
3,18
3,19
3,20
3,21
3,34
3,32
3,35
3,39
3,14
3,11
3,12
3,13
3,37
3,38
4,25
4,26
4,27
4,18
4,19
4,20
4,21
4,34
4,32
4,35
4,39
4,14
4,11
4,12
4,13
4,37
4,38
4,15
4,16
5,25
6,26
7,27
8,18
5,19
5,20
5,21
5,34
5,32
5,35
5,39
5,14
5,11
5,12
5,13
5,37
5,38
5,15
5,16
5,28
5,29
9,25
9,26
9,27
9,18
9,19
9,20
9,21
9,34
9,32
9,35
9,39
9,14
9,11
9,12
9,13
9,37
9,38
9,15
9,16
9,28
9,29
9,42
10,25
10,26
10,27
10,18
10,19
10,20
10,21
10,34
10,32
10,35
10,39
10,14
10,11
10,12
10,13
10,37
10,38
10,15
10,16
10,28
10,29
10,41
