id,code,name,canton_id
1,1,CARMEN,1
2,2,MERCED,1
3,3,HOSPITAL,1
4,4,CATEDRAL,1
5,5,ZAPOTE,1
6,6,SAN FRANCISCO DE DOS RÍOS,1
7,7,URUCA,1
8,8,MATA REDONDA,1
9,9,PAVAS,1
10,10,HATILLO,1
11,11,SAN SEBASTIÁN,1
12,1,ESCAZÚ,2
13,2,SAN ANTONIO,2
14,3,SAN RAFAEL,2
15,1,DESAMPARADOS,3
16,2,SAN MIGUEL,3
17,3,SAN JUAN DE DIOS,3
18,4,SAN RAFAEL ARRIBA,3
19,5,SAN ANTONIO,3
20,6,FRAILES,3
21,7,PATARRÁ,3
22,8,SAN CRISTÓBAL,3
23,9,ROSARIO,3
24,10,DAMAS,3
25,11,SAN RAFAEL ABAJO,3
26,12,GRAVILIAS,3
27,13,LOS GUIDO,3
28,1,SANTIAGO,4
29,2,MERCEDES SUR,4
30,3,BARBACOAS,4
31,4,GRIFO ALTO,4
32,5,SAN RAFAEL,4
33,6,CANDELARITA,4
34,7,DESAMPARADITOS,4
35,8,SAN ANTONIO,4
36,9,CHIRES,4
37,1,SAN MARCOS,5
38,2,SAN LORENZO,5
39,3,SAN CARLOS,5
40,1,ASERRÍ,6
41,2,TARBACA,6
42,3,VUELTA DE JORCO,6
43,4,SAN GABRIEL,6
44,5,LEGUA,6
45,6,MONTERREY,6
46,7,SALITRILLOS,6
47,1,COLÓN,7
48,2,GUAYABO,7
49,3,TABARCIA,7
50,4,PIEDRAS NEGRAS,7
51,5,PICAGRES,7
52,6,JARIS,7
53,7,QUITIRRISÍ,7
54,1,GUADALUPE,8
55,2,SAN FRANCISCO,8
56,3,CALLE BLANCOS,8
57,4,MATA DE PLÁTANO,8
58,5,IPÍS,8
59,6,RANCHO REDONDO,8
60,7,PURRAL,8
61,7,Purral,9
62,1,SANTA ANA,10
63,2,SALITRAL,10
64,3,POZOS,10
65,4,URUCA,10
66,5,PIEDADES,10
67,6,BRASIL,10
68,1,ALAJUELITA,11
69,2,SAN JOSECITO,11
70,3,SAN ANTONIO,11
71,4,CONCEPCIÓN,11
72,5,SAN FELIPE,11
73,1,SAN ISIDRO,12
74,2,SAN RAFAEL,12
75,3,DULCE NOMBRE DE JESÚS,12
76,4,PATALILLO,12
77,5,CASCAJAL,12
78,1,SAN IGNACIO,13
79,2,GUAITIL,13
80,3,PALMICHAL,13
81,4,CANGREJAL,13
