id,status,message_id,profile_id,email_notification_sent
1,SEEN,1,356,0
2,SEEN,1,402,0
3,SEEN,2,402,0
4,SEEN,2,356,0
5,SEEN,3,402,0
6,SEEN,3,356,1
7,SEEN,4,356,1
8,SEEN,4,402,0
9,SEEN,5,402,0
10,SEEN,5,356,1
11,SEEN,6,402,0
12,SEEN,6,356,1
13,SEEN,7,402,0
14,SEEN,7,356,1
15,SEEN,8,356,1
16,SEEN,8,402,0
17,SEEN,9,402,0
18,SEEN,9,356,1
19,SEEN,10,356,1
20,SEEN,10,402,0
21,SEEN,11,356,0
22,SEEN,11,402,0
23,SEEN,12,356,0
24,SEEN,12,402,0
25,SEEN,13,356,0
26,SENT,13,605,1
27,SENT,14,605,1
28,SEEN,14,356,0
29,SEEN,15,356,0
30,SENT,15,605,1
31,SEEN,16,356,0
32,SEEN,16,1702,0
33,SEEN,17,356,1
34,SEEN,17,402,0
35,SEEN,18,402,0
36,SEEN,18,356,1
37,SEEN,19,402,0
38,SEEN,19,356,1
39,SEEN,20,356,0
40,SEEN,20,402,1
41,SEEN,21,356,1
42,SEEN,21,402,0
43,SEEN,22,402,1
44,SEEN,22,356,0
45,SENT,23,1702,1
46,SEEN,23,402,0
47,SEEN,24,1702,0
48,DELIVERED,24,402,1
49,SEEN,25,402,0
50,SENT,25,1702,1
51,SEEN,26,1702,0
52,SEEN,26,356,1
53,SEEN,27,356,0
54,SEEN,27,1702,0
55,SEEN,28,356,1
56,SEEN,28,1702,0
57,SEEN,29,1702,0
58,SEEN,29,356,0
59,SEEN,30,1702,0
60,SEEN,30,356,1
61,SEEN,31,402,1
62,SEEN,31,356,0
63,SENT,32,653,1
64,SEEN,32,103,0
65,SEEN,33,307,0
66,SENT,33,1302,1
67,SEEN,34,307,0
68,DELIVERED,34,1303,1
69,SEEN,35,56,1
70,SEEN,35,307,0
71,SEEN,36,107,1
72,SEEN,36,307,0
73,SENT,37,53,1
74,SEEN,37,307,0
75,DELIVERED,38,402,1
76,SEEN,38,307,0
77,SENT,39,304,1
78,SEEN,39,58,0
79,SEEN,40,58,0
80,SENT,40,304,1
81,SENT,41,252,1
82,SEEN,41,254,0
83,SEEN,42,307,1
84,SEEN,42,56,0
85,SEEN,43,307,0
86,SEEN,43,107,1
87,SEEN,44,53,0
88,SEEN,44,307,1
89,SEEN,45,58,0
90,SENT,45,304,1
91,SENT,46,304,1
92,SEEN,46,58,0
93,SENT,47,1607,1
94,SEEN,47,58,0
95,SEEN,48,58,0
96,SEEN,48,5,1
97,SEEN,49,56,0
98,SEEN,49,307,1
99,SEEN,50,307,1
100,SEEN,50,107,0
101,SEEN,51,58,1
102,SEEN,51,5,0
103,SEEN,52,58,1
104,SEEN,52,5,0
105,SEEN,53,58,0
106,SEEN,53,5,1
107,SEEN,54,58,0
108,SEEN,54,5,1
109,SENT,55,107,1
110,SEEN,55,2453,0
111,SEEN,56,2453,0
112,SENT,56,53,1
113,SEEN,57,107,0
114,SENT,57,2453,1
115,SEEN,58,5,0
116,SEEN,58,107,1
117,SEEN,59,5,1
118,SEEN,59,107,0
119,SEEN,60,107,1
120,SEEN,60,5,0
121,SEEN,61,5,0
122,SEEN,61,107,1
123,SEEN,62,2453,0
124,SENT,62,2455,1
125,SEEN,63,254,1
126,SEEN,63,252,0
127,SENT,64,2052,1
128,SEEN,64,58,0
129,SEEN,65,58,1
130,SENT,65,2052,1
131,SEEN,66,307,1
132,SEEN,66,208,1
133,SEEN,67,208,1
134,SEEN,67,307,1
135,SENT,68,2555,1
136,SEEN,68,103,1
137,SEEN,69,356,1
138,SEEN,69,402,1
139,SEEN,70,402,0
140,SEEN,70,356,0
141,SEEN,71,402,0
142,SEEN,71,356,0
143,DELIVERED,72,402,1
144,SEEN,72,356,0
145,SENT,73,1354,1
146,SEEN,74,206,1
147,SEEN,73,206,1
148,SENT,74,1354,1
149,SENT,75,1354,1
150,SEEN,75,206,0
151,SEEN,76,356,1
152,SENT,76,605,1
153,SEEN,77,5,1
154,SENT,77,2253,1
155,SEEN,78,206,1
156,SEEN,78,206,1
157,SEEN,79,206,1
158,SEEN,79,206,1
