id,code,name,distrito_id
1,1,SAN JOSÉ (parte),1
2,2,Amón,1
3,3,Aranjuez,1
4,4,California (parte),1
5,5,Carmen,1
6,6,Empalme,1
7,7,Escalante,1
8,8,Otoya,1
9,1,SAN JOSÉ (parte),2
10,2,Bajos de la Unión,2
11,3,Claret,2
12,4,Cocacola,2
13,5,Iglesias Flores,2
14,6,Mantica,2
15,7,México,2
16,8,Paso de la Vaca,2
17,9,Pitahaya,2
18,1,SAN JOSÉ (parte),3
19,2,Almendares,3
20,3,Ángeles,3
21,4,Bolívar,3
22,5,Carit,3
23,6,Colón (parte),3
24,7,Corazón de Jesús,3
25,8,Cristo Rey,3
26,9,Cuba,3
27,10,Dolorosa (parte),3
28,11,Merced,3
29,12,Pacífico (parte),3
30,13,Pinos,3
31,14,Salubridad,3
32,15,San Bosco,3
33,16,San Francisco,3
34,17,Santa Lucía,3
35,18,Silos,3
36,1,SAN JOSÉ (parte),4
37,2,Bellavista,4
38,3,California (parte),4
39,4,Carlos María Jiménez,4
40,5,Dolorosa (parte),4
41,6,Dos Pinos,4
42,7,Francisco Peralta (parte),4
43,8,González Lahmann,4
44,9,González Víquez,4
45,10,Güell,4
46,11,La Cruz,4
47,12,Lomas de Ocloro,4
48,13,Luján,4
49,14,Milflor,4
50,15,Naciones Unidas,4
51,16,Pacífico (parte),4
52,17,San Cayetano (parte),4
53,18,Soledad,4
54,19,Tabacalera,4
55,20,Vasconia,4
56,1,ZAPOTE centro,5
57,2,Alborada,5
58,3,Calderón Muñoz,5
59,4,Cerrito,5
60,5,Córdoba,5
61,6,Gloria,5
62,7,Jardín,5
63,8,Luisas,5
64,9,Mangos,5
65,10,Montealegre,5
66,11,Moreno Cañas,5
67,12,Quesada Durán,5
68,13,San Dimas,5
69,14,San Gerardo (parte),5
70,15,Trébol,5
71,16,Ujarrás,5
72,17,Vista Hermosa,5
73,18,Yoses Sur,5
74,1,SAN FRANCISCO DE DOS RÍOS centro,6
75,2,Ahogados (parte),6
76,3,Bosque,6
77,4,Cabañas,6
78,5,Camelias,6
79,6,Coopeguaria,6
80,7,Faro,6
81,8,Fátima,6
82,9,Hispano,6
83,10,I Griega,6
84,11,Lincoln,6
85,12,Lomas de San Francisco,6
86,13,Maalot,6
87,14,Méndez,6
88,15,Pacífica,6
89,16,Sauces,6
90,17,Saucitos,6
91,18,Zurquí,6
92,1,URUCA centro,7
93,2,Alborada,7
94,3,Ánimas,7
95,4,Árboles,7
96,5,Bajos del Torres,7
97,6,Carranza,7
98,7,Corazón de Jesús,7
99,8,Cristal,7
100,9,Carvajal Castro,7
101,10,Jardines de Autopista,7
102,11,La Caja,7
103,12,La Carpio,7
104,13,Magnolia,7
105,14,Marimil,7
106,15,Monserrat,7
107,16,Peregrina,7
108,17,Robledal,7
109,18,Rossiter Carballo,7
110,19,Santander,7
111,20,Saturno,7
112,21,Vuelta del Virilla,7
113,1,SAN JOSÉ (parte),8
114,2,Américas,8
115,3,Bajo Cañada (parte),8
116,4,Balcón Verde,8
117,5,Colón (parte),8
118,6,Del Pino,8
119,7,Holanda,8
120,8,La Luisa,8
121,9,La Salle,8
122,10,Lomalinda,8
123,11,Morenos,8
124,12,Niza,8
125,13,Rancho Luna,8
126,14,Rohrmoser (parte),8
127,15,Roma,8
128,16,Sabana,8
129,17,Tovar,8
130,1,PAVAS centro,9
131,2,Alfa,9
132,3,Asturias,9
133,4,Asunción,9
134,5,Bribrí,9
135,6,Favorita Norte,9
136,7,Favorita Sur,9
137,8,Galicia,9
138,9,Geroma,9
139,10,Hispania,9
140,11,Libertad,9
141,12,Lomas del Río,9
142,13,Llanos del Sol,9
143,14,María Reina,9
144,15,Metrópolis,9
145,16,Navarra,9
146,17,Pueblo Nuevo,9
147,18,Residencial del Oeste,9
148,19,Rincón Grande,9
149,20,Rohrmoser (parte),9
150,21,Rotonda,9
151,22,San Pedro,9
152,23,Santa Bárbara,9
153,24,Santa Catalina,9
154,25,Santa Fé,9
155,26,Triángulo,9
156,27,Villa Esperanza,9
157,1,HATILLO centro,10
158,2,Bajo Cañada (parte),10
159,3,Belgrano,10
160,4,Hatillo 1,10
161,5,Hatillo 2,10
162,6,Hatillo 3,10
163,7,Hatillo 4,10
164,8,Hatillo 5,10
165,9,Hatillo 6,10
166,10,Hatillo 7,10
167,11,Hatillo 8,10
168,12,Quince de Setiembre,10
169,13,Sagrada Familia,10
170,14,Tiribí,10
171,15,Topacio,10
172,16,Veinticinco de Julio,10
173,17,Vivienda en Marcha,10
174,1,SAN SEBASTIÁN centro,11
175,2,Bengala,11
176,3,Bilbao,11
177,4,Cañada del Sur,11
178,5,Carmen,11
179,6,Cascajal,11
180,7,Cerro Azul,11
181,8,Colombari,11
182,9,Domingo Savio,11
183,10,Guacamaya,11
184,11,Jazmín,11
185,12,Hogar Propio,11
186,13,Kennedy,11
187,14,López Mateos,11
188,15,Luna Park,11
189,16,Martínez,11
190,17,Mojados,11
191,18,Mongito,11
192,19,Monte Azúl,11
193,20,Musmanni,11
194,21,Paso Ancho,11
195,22,Presidentes,11
196,23,San Cayetano (parte),11
197,24,San Martín,11
198,25,Santa Rosa,11
199,26,Seminario,11
200,27,Sorobarú,11
201,1,ESCAZÚ centro,12
202,2,Alto Carrizal,12
203,3,Carrizal (parte),12
204,4,Faroles,12
205,5,Guapinol,12
206,6,Hulera,12
207,7,Itabas,12
208,8,Jaboncillo,12
209,9,Profesores (parte),12
210,1,SAN ANTONIO centro,13
211,2,Avellana,13
212,3,Bebedero,13
213,4,Belo Horizonte (parte),13
214,5,Carrizal (parte),13
215,6,Curío,13
216,7,Chirca,13
217,8,Chiverral,13
218,9,Entierrillo,13
219,10,Filtros,13
220,11,Guayabos,13
221,12,Hojablanca,13
222,13,Juan Santana,13
223,14,Lajas,13
224,15,Masilla,13
225,16,Muta,13
226,17,Pedrero,13
227,18,Perú,13
228,19,Profesores (parte),13
229,20,Sabanillas,13
230,21,Salitrillos,13
231,22,Santa Eduvigis,13
232,23,Santa Teresa,13
233,24,Tejarcillos,13
234,25,Torrotillo,13
235,26,Vista de Oro,13
236,1,SAN RAFAEL centro,14
237,2,Anonos,14
238,3,Ayala,14
239,4,Bajo Anonos,14
240,5,Bajo Palomas,14
241,6,Belo Horizonte (parte),14
242,7,Betina,14
243,8,Ceiba,14
244,9,Facio Castro,14
245,10,Guachipelín,14
246,11,Herrera,14
247,12,Laureles,14
248,13,León,14
249,14,Loma Real,14
250,15,Matapalo,14
251,16,Maynard,14
252,17,Mirador,14
253,18,Miravalles,14
254,19,Palermo,14
255,20,Palma de Mallorca,14
256,21,Pinar,14
257,22,Primavera,14
258,23,Quesada,14
259,24,Real de Pereira (parte),14
260,25,Santa Marta,14
261,26,Tena,14
262,27,Trejos Montealegre,14
263,28,Vista Alegre,14
264,1,DESAMPARADOS centro,15
265,2,Altamira,15
266,3,Bellavista,15
267,4,Calle Fallas,15
268,5,Camaquirí,15
269,6,Capilla,15
270,7,Centro de Amigos,15
271,8,Cerámica,15
272,9,Colonia del Sur,15
273,10,Contadores,15
274,11,Cruce,15
275,12,Cucubres,15
276,13,Dorados,15
277,14,Florita,15
278,15,Fortuna,15
279,16,Jardín,15
280,17,Loto,15
281,18,Metrópoli,15
282,19,Monseñor Sanabria,15
283,20,Monteclaro,15
284,21,Palogrande,15
285,22,Pinos,15
286,23,Retoños,15
287,24,Río Jorco,15
288,25,Sabara,15
289,26,San Esteban Rey,15
290,27,San Jerónimo,15
291,28,San José,15
292,29,San Roque,15
293,30,Tauros,15
294,31,Torremolinos,15
295,32,Venecia,15
296,33,Vista Verde,15
297,1,SAN MIGUEL centro,16
298,2,Ángeles,16
299,3,Capri,16
300,4,Damas Israelitas,16
301,5,Girasol,16
302,6,Higuito,16
303,7,Lindavista,16
304,8,Lomas de Jorco,16
305,9,Llano,16
306,10,Meseguer,16
307,11,Olivos,16
308,12,Orquídeas,16
309,13,Peñascal,16
310,14,Rinconada,16
311,15,Rodillal,16
312,16,Sabanilla,16
313,17,San Martín,16
314,18,Santa Eduvigis,16
315,19,Valverde,16
316,20,Alto Alumbre,16
317,21,Hoyo,16
318,22,Jericó,16
319,23,Manzano,16
320,24,Pacaya,16
321,25,Roblar,16
322,26,Ticalpes (parte),16
323,27,Calle Naranjos,16
324,1,SAN JUAN DE DIOS centro,17
325,2,Calabacitas,17
326,3,Calle Común,17
327,4,Cruz Roja,17
328,5,Itaipú,17
329,6,Máquinas,17
330,7,Mota,17
331,8,Novedades,17
332,9,Pedrito Monge,17
333,10,Río,17
334,11,Robles,17
335,1,SAN RAFAEL ARRIBA centro,18
336,2,Alpino,18
337,3,Arco Iris,18
338,4,Bambú,18
339,5,Berlay,18
340,6,Guaria,18
341,7,Huaso (parte),18
342,8,Juncales,18
343,9,Lajas,18
344,10,Macarena,18
345,11,Maiquetía,18
346,12,Méndez,18
347,1,SAN ANTONIO centro,19
348,2,Acacias,19
349,3,Calle Amador,19
350,4,Constancia,19
351,5,Churuca,19
352,6,Huetares,19
353,7,Plazoleta,19
354,8,Pueblo Nuevo,19
355,9,Río Damas,19
356,10,Rotondas,19
357,11,Solar,19
358,1,FRAILES centro,20
359,2,Bajos de Tarrazú,20
360,3,Bustamante,20
361,4,Santa Elena (parte),20
362,5,Violeta,20
363,1,PATARRÁ centro,21
364,2,Aguacate,21
365,3,Balneario,21
366,4,Don Bosco,21
367,5,Guatuso,21
368,6,Güízaro,21
369,7,Jerusalén,21
370,8,Lince,21
371,9,Mesas,21
372,10,Quebrada Honda,21
373,11,Ticalpes (parte),21
374,1,SAN CRISTÓBAL NORTE,22
375,2,Empalme (parte),22
376,3,Lucha (parte),22
377,4,San Cristóbal Sur,22
378,5,Sierra,22
379,1,ROSARIO centro,23
380,2,Bajo Tigre,23
381,3,Chirogres,23
382,4,Guadarrama,23
383,5,Joya,23
384,6,La Fila (parte),23
385,7,Llano bonito,23
386,8,Quebrada Honda,23
387,9,Trinidad (parte),23
388,1,FÁTIMA,24
389,2,Cajita,24
390,3,Dorado,24
391,4,Dos Cercas,24
392,5,Fomentera,24
393,6,Nuestra Señora de la Esperanza,24
394,7,San Lorenzo,24
395,1,SAN RAFAEL ABAJO centro,25
396,2,Ángeles,25
397,3,Autofores,25
398,4,Balboa,25
399,5,Coopelot,25
400,6,Gardenia,25
401,7,Higuerones,25
402,8,Leo,25
403,9,Mónaco,25
404,10,Sagitario,25
405,11,Santa Cecilia,25
406,12,Tejar (parte),25
407,13,Treviso,25
408,14,Unidas,25
409,15,Valencia,25
410,16,Vizcaya,25
411,1,GRAVILIAS centro,26
412,2,Cartonera,26
413,3,Claveles,26
414,4,Damasco,26
415,5,Diamante,26
416,6,Esmeraldas,26
417,7,Fortuna,26
418,8,Fortunita,26
419,9,Porvenir,26
420,10,Raya,26
421,11,Riberalta,26
422,12,Villanueva,26
423,1,LOS GUIDO centro,27
424,2,Letras,27
425,3,Balcón Verde,27
426,1,SANTIAGO centro,28
427,2,Ángeles,28
428,3,Buenos Aires,28
429,4,Corazón de María,28
430,5,Jarasal,28
431,6,Junquillo Arriba,28
432,7,Pueblo Nuevo,28
433,8,San Isidro,28
434,9,Bajo Badilla,28
435,10,Bajo Moras,28
436,11,Cañales Abajo,28
437,12,Cañales Arriba,28
438,13,Carit,28
439,14,Charcón (parte),28
440,15,Cirrí,28
441,16,Junquillo Abajo,28
442,17,Pozos,28
443,18,San Francisco,28
444,19,San Martín,28
445,20,Zapote,28
446,1,MERCEDES SUR centro,29
447,2,Alto Palma,29
448,3,Bajo Lanas,29
449,4,Bajo Legua,29
450,5,Bajo Legüita,29
451,6,Bajo Quesada,29
452,7,Bocana,29
453,8,Carmona,29
454,9,Cerbatana,29
455,10,Charquillos,29
456,11,Jilgueral,29
457,12,Llano Grande,29
458,13,Mercedes Norte,29
459,14,Potenciana,29
460,15,Quebrada Honda,29
461,16,Quivel,29
462,17,Rancho Largo,29
463,18,Salitrales,29
464,19,Santa Marta,29
465,20,Túfares,29
466,21,Tulín,29
467,22,Víbora,29
468,23,Zapotal,29
469,1,BARBACOAS centro,30
470,2,Alto Barbacoas,30
471,3,Bajo Burgos,30
472,4,Cortezal,30
473,5,Guatuso,30
474,6,Piedades,30
475,7,San Juan,30
476,1,GRIFO ALTO centro,31
477,2,Cacao,31
478,3,Cuesta Mora,31
479,4,Grifo Bajo,31
480,5,Poró,31
481,6,Pueblo Nuevo,31
482,7,Salitrillo,31
483,1,SAN RAFAEL ARRIBA  ,32
484,2,Bijagual,32
485,3,Floralia,32
486,4,Punta de Lanza,32
487,5,San Rafael Abajo,32
488,1,CANDELARITA centro,33
489,2,Alto Cebadilla,33
490,3,Bajo Chacones,33
491,4,Copalar,33
492,5,Pedernal,33
493,6,Polca,33
494,7,Sabanas,33
495,1,DESAMPARADITOS centro,34
496,2,Bajo Guevara,34
497,3,Planta,34
498,4,Rinconada,34
499,1,SAN ANTONIO centro,35
500,2,Bajo Herrera,35
501,3,Calle Herrera,35
502,4,Cruce Guanacaste,35
503,5,Charcón (parte),35
504,6,Estero,35
505,7,Río Viejo,35
506,8,Salitral,35
507,9,Tinamaste,35
508,1,CRISTO REY,36
509,2,Alto Concepción,36
510,3,Alto Pérez Astúa,36
511,4,Ángeles,36
512,5,Angostura (parte),36
513,6,Arenal,36
514,7,Bajo Chires,36
515,8,Bajo de Guarumal,36
516,9,Bajo el Rey,36
517,10,Bajo Vega,36
518,11,Cerdas,36
519,12,Fila Aguacate,36
520,13,Gamalotillo 1 (Colonia),36
521,14,Gamalotillo 2 (Gamalotillo),36
522,15,Gamalotillo 3 (Tierra Fértil),36
523,16,Gloria,36
524,17,Guarumal,36
525,18,Guarumalito,36
526,19,Mastatal,36
527,20,Pericos,36
528,21,Río Negro (parte),36
529,22,San Miguel,36
530,23,San Vicente,36
531,24,Santa Rosa,36
532,25,Vista de Mar,36
533,26,Zapatón,36
534,1,SAN MARCOS centro,37
535,2,Corea,37
536,3,I Griega,37
537,4,Las Tres Marías,37
538,5,Santa Cecilia,37
539,6,Rodeo,37
540,7,Sitio,37
541,8,Alto Pastora,37
542,9,Bajo Canet,37
543,10,Bajo San Juan,37
544,11,Canet,37
545,12,Cedral (parte),37
546,13,Guadalupe,37
547,14,Llano Piedra,37
548,15,San Cayetano,37
549,16,San Guillermo,37
550,17,Sabana (parte),37
551,18,San Pedro,37
552,1,SAN LORENZO centro,38
553,2,Alto Guarumal,38
554,3,Alto Portal,38
555,4,Alto Zapotal,38
556,5,Ardilla,38
557,6,Bajo Quebrada Honda,38
558,7,Bajo Reyes,38
559,8,Bajo Zapotal,38
560,9,Cerro Nara,38
561,10,Concepción,38
562,11,Chilamate,38
