id,code,name,provincia_id
1,1,SAN JOSÉ,1
2,2,ESCAZÚ,1
3,3,DESAMPARADOS,1
4,4,PURISCAL,1
5,5,TARRAZÚ,1
6,6,ASERRÍ,1
7,7,MORA,1
8,8,GOICOECHEA,1
9,8,,1
10,9,SANTA ANA,1
11,10,ALAJUELITA,1
12,11,VÁZQUEZ DE CORONADO,1
13,12,ACOSTA,1
14,13,TIBÁS,1
15,14,MORAVIA,1
16,15,MONTES DE OCA,1
17,16,TURRUBARES,1
18,17,DOTA,1
19,18,CURRIDABAT,1
20,19,PÉREZ ZELEDÓN,1
21,20,LEÓN CORTÉS CASTRO,1
22,1,ALAJUELA,2
23,2,SAN RAMÓN,2
24,3,GRECIA,2
25,4,SAN MATEO,2
26,5,ATENAS,2
27,6,NARANJO,2
28,7,PALMARES,2
29,8,POÁS,2
30,9,OROTINA,2
31,10,SAN CARLOS,2
32,11,ZARCERO,2
33,12,SARCHÍ,2
34,13,UPALA,2
35,14,LOS CHILES,2
36,15,GUATUSO,2
37,16,RÍO CUARTO,2
38,1,CARTAGO,3
39,2,PARAÍSO,3
40,3,LA UNIÓN,3
41,4,JIMÉNEZ,3
42,5,TURRIALBA,3
43,6,ALVARADO,3
44,7,OREAMUNO,3
45,8,EL GUARCO,3
46,1,HEREDIA,4
47,2,BARVA,4
48,3,SANTO DOMINGO,4
49,4,SANTA BÁRBARA,4
50,5,SAN RAFAEL,4
51,6,SAN ISIDRO,4
52,7,BELÉN,4
53,8,FLORES,4
54,9,SAN PABLO,4
55,10,SARAPIQUÍ,4
56,1,LIBERIA,5
57,2,NICOYA,5
58,3,SANTA CRUZ,5
59,4,BAGACES,5
60,5,CARRILLO,5
61,6,CAÑAS,5
62,7,ABANGARES,5
63,8,TILARÁN,5
64,9,NANDAYURE,5
65,10,LA CRUZ,5
66,11,HOJANCHA,5
67,1,PUNTARENAS,6
68,2,ESPARZA,6
69,3,BUENOS AIRES,6
70,4,MONTES DE ORO,6
71,5,OSA,6
72,6,QUEPOS,6
73,7,GOLFITO,6
74,8,COTO BRUS,6
75,9,PARRITA,6
76,10,CORREDORES,6
77,11,GARABITO,6
78,12,Monte Verde,6
79,13,Puerto Jimenez,6
80,1,LIMÓN,7
81,2,POCOCÍ,7
82,3,SIQUIRRES,7
83,4,TALAMANCA,7
84,5,MATINA,7
85,6,GUÁCIMO,7
