id,base_imponible,codigo,detalle,name,precio_unitario,unidad_medida,currency_id,impuesto_codigo_id,impuesto_tarifa_id,profile_id,converted_price,exchange_rate,is_converted_price_manually_set,codigo_actividad_id,quantity,batch_number,converted_price_tax,converted_price_with_tax,price_with_tax,tax
3162,100.0000,2118402000111,Paté, con predominio de carne de cerdo (de 51% a menos de 100%),Product,100.0000,h,149,1,2,58,50629.0000,,1,241,,,506.2900,51135.2900,101.0000,1.0000
3163,2000.0000,3562409000111,Benzalconio como apósito medicinal,Product CRC,2000.0000,I,37,8,3,58,39.2200,,1,241,,,0.7844,40.0044,2040.0000,40.0000
3402,33.0000,3562108000111,OBESILOX, TABLETAS RECUBIERTAS 10MG,Test,33.0000,Alc,37,7,3,58,32.3529,,1,241,,,0.6471,33.0000,33.6600,0.6600
3403,100.0000,3562409000111,Benzalconio como apósito medicinal,Product,100.0000,Alc,37,7,3,58,9.8039,,1,241,,,0.1961,10.0000,102.0000,2.0000
3404,31.0000,3562108000111,OBESILOX, TABLETAS RECUBIERTAS 10MG,test,31.0000,1/m,37,7,3,56,0.0604,,0,1,,,0.0012,0.0616,31.6200,0.6200
3405,323.0000,3563402000111,Bendazac para uso músculo esquelético,Test,323.0000,Alc,37,7,3,56,32.3529,,1,1,,,0.6471,33.0000,329.4600,6.4600
3406,22.0000,2118402000111,Paté, con predominio de carne de cerdo (de 51% a menos de 100%),Test,22.0000,1/m,37,7,2,56,1.9802,,1,1,,,0.0198,2.0000,22.2200,0.2200
3407,22.0000,3562409000111,Benzalconio como apósito medicinal,Test 2,22.0000,Alc,149,7,3,56,11175.1200,,0,1,,,223.5024,11398.6224,22.4400,0.4400
3408,55.0000,3562108000111,OBESILOX, TABLETAS RECUBIERTAS 10MG,Test,55.0000,Alc,37,7,3,56,0.1071,,0,1,,,0.0021,0.1092,56.1000,1.1000
3409,22.0000,3562409000111,Benzalconio como apósito medicinal,Product,22.0000,Alc,149,7,3,56,11175.1200,,0,1,,,223.5024,11398.6224,22.4400,0.4400
3410,2.0000,3562201000111,Tioclomarol,Test,2.0000,Alc,37,7,3,56,0.0039,,0,1,,,0.0001,0.0040,2.0400,0.0400
3411,3.0000,3562108000111,OBESILOX, TABLETAS RECUBIERTAS 10MG,Test,3.0000,Alc,37,7,3,56,1.9608,,1,1,,,0.0392,2.0000,3.0600,0.0600
3412,33.0000,3562108000111,OBESILOX, TABLETAS RECUBIERTAS 10MG,Test,33.0000,Alc,37,7,3,56,0.0643,,0,1,,,0.0013,0.0656,33.6600,0.6600
