id,base_imponible,cantidad,codigo,comment,created_at,currency_code,detalle,name,numero_linea,paid_amount,precio_unitario,price_with_tax,price_without_tax,receiver_status,sender_status,tax,unidad_medida,updated_at,version,impuesto_codigo_id,impuesto_tarifa_id
1,0.0000,1.0000,8222100000000,,2024-07-17 05:02:50.369033,CRC,Product Description,John,1,0.00,4000.0000,4000.00,4000.00,PENDING_APPROVAL,APPROVED,0.00,Alc,,0,3,3
2,0.0000,2.0000,2132100000100,,2024-08-01 23:53:59.544553,CRC,Test description,Test name,1,0.00,2.0000,4.00,4.00,PENDING_APPROVAL,APPROVED,0.00,h,2024-08-02 22:35:07.083588,1,2,2
52,10.0000,2.0000,3562101000302,,2024-08-02 21:33:55.455572,CRC,Dexametasona como preparado estomatológico,Tomato,1,200.00,100.0000,200.40,200.00,PENDING_APPROVAL,APPROVED,0.40,Cm,2024-08-21 11:13:58.169212,3,1,3
53,0.0100,1.0000,8222100000000,comment,2024-08-03 09:02:03.019334,USD,Test,test,1,0.01,0.0100,0.01,0.01,PENDING_APPROVAL,APPROVED,0.00,Sp,2024-08-21 11:25:33.192249,1,1,8
102,0.0000,1.0000,3331100029900,,2024-08-06 13:56:46.850452,CRC,ash,213,1,0.00,20.0000,20.00,20.00,PENDING_APPROVAL,APPROVED,0.00,I,,0,3,8
103,0.0000,3.0000,422201010000,,2024-08-06 13:58:50.278984,USD,asd,as,1,0.00,31.0000,93.00,93.00,PENDING_APPROVAL,APPROVED,0.00,Alc,2024-09-04 10:46:38.011201,27,6,6
104,0.0000,1.0000,3331100029900,cc,2024-08-06 14:00:14.749441,CRC,ash,213,1,0.00,20.0000,20.00,20.00,PENDING_APPROVAL,APPROVED,0.00,I,,0,3,8
105,0.0000,1.0000,422201010000,,2024-08-06 14:00:30.977334,USD,Dattale,206,1,0.00,2.0000,2.00,2.00,PENDING_APPROVAL,APPROVED,0.00,Alc,,0,1,1
106,0.0000,1.0000,3563502020175,,2024-08-06 14:00:30.982356,USD,ar,215,2,0.00,9.0000,9.00,9.00,PENDING_APPROVAL,APPROVED,0.00,A/m²,,0,1,8
202,0.0000,1.0000,8222100000000,,2024-08-08 11:56:12.126331,CRC,testDescription,testName,1,0.00,100.0000,100.00,100.00,PENDING_APPROVAL,PENDING_APPROVAL,0.00,Sp,,0,1,8
252,0.0000,1.0000,422201010000,,2024-08-12 07:45:49.929474,USD,asd,as,1,31.00,31.0000,31.00,31.00,PENDING_APPROVAL,APPROVED,0.00,Alc,2024-08-21 11:43:06.498321,2,6,6
253,0.0000,1.0000,422201010000,,2024-08-12 07:45:49.942958,USD,asd,as,2,31.00,31.0000,31.00,31.00,PENDING_APPROVAL,APPROVED,0.00,Alc,2024-08-21 11:43:18.032208,2,6,6
254,0.0000,1.0000,422201010000,,2024-08-12 09:39:48.685749,USD,asd,as,1,0.00,31.0000,31.00,31.00,PENDING_APPROVAL,PENDING_APPROVAL,0.00,Alc,,0,6,6
255,0.0000,1.0000,422201010000,,2024-08-12 09:39:48.687316,USD,asd,as,2,0.00,31.0000,31.00,31.00,PENDING_APPROVAL,PENDING_APPROVAL,0.00,Alc,,0,6,6
256,0.0000,1.0000,422201010000,,2024-08-12 09:50:43.913147,USD,asd,as,1,0.00,31.0000,31.00,31.00,PENDING_APPROVAL,PENDING_APPROVAL,0.00,Alc,,0,6,6
257,0.0000,1.0000,422201010000,,2024-08-12 09:50:43.914104,USD,asd,as,2,0.00,31.0000,31.00,31.00,PENDING_APPROVAL,PENDING_APPROVAL,0.00,Alc,,0,6,6
