profile_id,accountants_id
5,52
5,1304
5,1802
52,1
52,2
54,553
54,554
54,1102
56,552
56,2052
58,4
58,153
58,1402
103,452
107,504
202,2003
206,1605
206,1753
208,2004
208,2102
254,1002
255,602
255,802
256,402
303,702
303,1305
307,204
307,502
307,1203
307,1652
309,152
356,852
356,1054
356,1656
402,1052
452,202
453,203
503,252
503,253
552,302
604,353
805,902
1802,1702
1803,1703
2057,1152
2057,1153
2252,1303
2352,1352
2355,1852
2453,1403
2453,1404
2453,1405
2503,1856
2852,1803
2853,1804
2902,1853
2902,1855
3302,1902
