start_id,end_id,type
1156,1005,ASSOCIATED_WITH
1156,1053,ASSOCIATED_WITH
1156,1307,ASSOCIATED_WITH
1156,1309,ASSOCIATED_WITH
1202,1052,ASSOCIATED_WITH
1202,1305,ASSOCIATED_WITH
1202,1306,ASSOCIATED_WITH
1202,1506,ASSOCIATED_WITH
1252,1102,ASSOCIATED_WITH
1252,1103,ASSOCIATED_WITH
1252,1104,ASSOCIATED_WITH
1252,1105,ASSOCIATED_WITH
1252,1302,ASSOCIATED_WITH
1252,1303,ASSOCIATED_WITH
1252,1304,ASSOCIATED_WITH
1252,1602,ASSOCIATED_WITH
1252,1603,ASSOCIATED_WITH
1252,1612,ASSOCIATED_WITH
1252,1613,ASSOCIATED_WITH
1253,1106,ASSOCIATED_WITH
1253,1152,ASSOCIATED_WITH
1253,1153,ASSOCIATED_WITH
1253,1202,ASSOCIATED_WITH
1253,1203,ASSOCIATED_WITH
1253,1204,ASSOCIATED_WITH
1253,1205,ASSOCIATED_WITH
1253,1252,ASSOCIATED_WITH
1253,1253,ASSOCIATED_WITH
1253,1254,ASSOCIATED_WITH
1253,1255,ASSOCIATED_WITH
1253,1308,ASSOCIATED_WITH
1253,1616,ASSOCIATED_WITH
1253,1653,ASSOCIATED_WITH
1302,1310,ASSOCIATED_WITH
1302,1508,ASSOCIATED_WITH
1302,1554,ASSOCIATED_WITH
1302,1555,ASSOCIATED_WITH
1302,1605,ASSOCIATED_WITH
1303,1311,ASSOCIATED_WITH
1303,1312,ASSOCIATED_WITH
1303,1403,ASSOCIATED_WITH
1303,1507,ASSOCIATED_WITH
1303,1611,ASSOCIATED_WITH
1303,1614,ASSOCIATED_WITH
1303,1652,ASSOCIATED_WITH
1304,1452,ASSOCIATED_WITH
1304,1553,ASSOCIATED_WITH
1304,1615,ASSOCIATED_WITH
1305,1313,ASSOCIATED_WITH
1305,1314,ASSOCIATED_WITH
1305,1315,ASSOCIATED_WITH
1305,1402,ASSOCIATED_WITH
1305,1552,ASSOCIATED_WITH
1352,1352,ASSOCIATED_WITH
1403,1404,ASSOCIATED_WITH
1403,1405,ASSOCIATED_WITH
1403,1610,ASSOCIATED_WITH
1404,1502,ASSOCIATED_WITH
1405,1406,ASSOCIATED_WITH
1405,1407,ASSOCIATED_WITH
1405,1503,ASSOCIATED_WITH
1405,1504,ASSOCIATED_WITH
1405,1505,ASSOCIATED_WITH
1405,1604,ASSOCIATED_WITH
1406,1556,ASSOCIATED_WITH
1453,1606,ASSOCIATED_WITH
1454,1607,ASSOCIATED_WITH
1454,1608,ASSOCIATED_WITH
1455,1609,ASSOCIATED_WITH
1652,1752,ASSOCIATED_WITH
