start_id,end_id,type
1,1,ASSOCIATED_WITH
2,1,ASSOCIATED_WITH
3,1,ASSOCIATED_WITH
4,1,ASSOCIATED_WITH
5,1,ASSOCIATED_WITH
6,1,ASSOCIATED_WITH
7,1,ASSOCIATED_WITH
8,1,ASSOCIATED_WITH
9,1,ASSOCIATED_WITH
10,1,ASSOCIATED_WITH
11,1,ASSOCIATED_WITH
12,1,ASSOCIATED_WITH
13,1,ASSOCIATED_WITH
14,1,ASSOCIATED_WITH
15,1,ASSOCIATED_WITH
16,1,ASSOCIATED_WITH
17,1,ASSOCIATED_WITH
18,1,ASSOCIATED_WITH
19,1,ASSOCIATED_WITH
20,1,ASSOCIATED_WITH
21,1,ASSOCIATED_WITH
22,2,ASSOCIATED_WITH
23,2,ASSOCIATED_WITH
24,2,ASSOCIATED_WITH
25,2,ASSOCIATED_WITH
26,2,ASSOCIATED_WITH
27,2,ASSOCIATED_WITH
28,2,ASSOCIATED_WITH
29,2,ASSOCIATED_WITH
30,2,ASSOCIATED_WITH
31,2,ASSOCIATED_WITH
32,2,ASSOCIATED_WITH
33,2,ASSOCIATED_WITH
34,2,ASSOCIATED_WITH
35,2,ASSOCIATED_WITH
36,2,ASSOCIATED_WITH
37,2,ASSOCIATED_WITH
38,3,ASSOCIATED_WITH
39,3,ASSOCIATED_WITH
40,3,ASSOCIATED_WITH
41,3,ASSOCIATED_WITH
42,3,ASSOCIATED_WITH
43,3,ASSOCIATED_WITH
44,3,ASSOCIATED_WITH
45,3,ASSOCIATED_WITH
46,4,ASSOCIATED_WITH
47,4,ASSOCIATED_WITH
48,4,ASSOCIATED_WITH
49,4,ASSOCIATED_WITH
50,4,ASSOCIATED_WITH
51,4,ASSOCIATED_WITH
52,4,ASSOCIATED_WITH
53,4,ASSOCIATED_WITH
54,4,ASSOCIATED_WITH
55,4,ASSOCIATED_WITH
56,5,ASSOCIATED_WITH
57,5,ASSOCIATED_WITH
58,5,ASSOCIATED_WITH
59,5,ASSOCIATED_WITH
60,5,ASSOCIATED_WITH
61,5,ASSOCIATED_WITH
62,5,ASSOCIATED_WITH
63,5,ASSOCIATED_WITH
64,5,ASSOCIATED_WITH
65,5,ASSOCIATED_WITH
66,5,ASSOCIATED_WITH
67,6,ASSOCIATED_WITH
68,6,ASSOCIATED_WITH
69,6,ASSOCIATED_WITH
70,6,ASSOCIATED_WITH
71,6,ASSOCIATED_WITH
72,6,ASSOCIATED_WITH
73,6,ASSOCIATED_WITH
74,6,ASSOCIATED_WITH
75,6,ASSOCIATED_WITH
76,6,ASSOCIATED_WITH
77,6,ASSOCIATED_WITH
78,6,ASSOCIATED_WITH
79,6,ASSOCIATED_WITH
80,7,ASSOCIATED_WITH
81,7,ASSOCIATED_WITH
82,7,ASSOCIATED_WITH
83,7,ASSOCIATED_WITH
84,7,ASSOCIATED_WITH
85,7,ASSOCIATED_WITH
