start_id,end_id,type
1,3,ASSOCIATED_WITH
2,58,ASSOCIATED_WITH
52,103,ASSOCIATED_WITH
102,208,ASSOCIATED_WITH
202,56,ASSOCIATED_WITH
203,307,ASSOCIATED_WITH
252,5,ASSOCIATED_WITH
302,54,ASSOCIATED_WITH
352,255,ASSOCIATED_WITH
402,103,ASSOCIATED_WITH
452,305,ASSOCIATED_WITH
453,307,ASSOCIATED_WITH
502,307,ASSOCIATED_WITH
602,303,ASSOCIATED_WITH
604,254,ASSOCIATED_WITH
605,254,ASSOCIATED_WITH
655,303,ASSOCIATED_WITH
656,303,ASSOCIATED_WITH
657,303,ASSOCIATED_WITH
658,254,ASSOCIATED_WITH
702,303,ASSOCIATED_WITH
703,303,ASSOCIATED_WITH
704,303,ASSOCIATED_WITH
705,254,ASSOCIATED_WITH
706,254,ASSOCIATED_WITH
707,254,ASSOCIATED_WITH
752,254,ASSOCIATED_WITH
