start_id,end_id,type
1,41,ASSOCIATED_WITH
2,41,ASSOCIATED_WITH
3,41,ASSOCIATED_WITH
4,41,ASSOCIATED_WITH
5,41,ASSOCIATED_WITH
6,41,ASSOCIATED_WITH
7,41,ASSOCIATED_WITH
8,41,ASSOCIATED_WITH
9,41,ASSOCIATED_WITH
10,41,ASSOCIATED_WITH
52,41,ASSOCIATED_WITH
102,42,ASSOCIATED_WITH
152,1,ASSOCIATED_WITH
153,1,ASSOCIATED_WITH
202,1,ASSOCIATED_WITH
203,1,ASSOCIATED_WITH
204,1,ASSOCIATED_WITH
205,1,ASSOCIATED_WITH
206,1,ASSOCIATED_WITH
207,1,ASSOCIATED_WITH
208,1,ASSOCIATED_WITH
209,1,ASSOCIATED_WITH
210,1,ASSOCIATED_WITH
211,1,ASSOCIATED_WITH
212,1,ASSOCIATED_WITH
213,1,ASSOCIATED_WITH
214,1,ASSOCIATED_WITH
215,1,ASSOCIATED_WITH
216,1,ASSOCIATED_WITH
217,1,ASSOCIATED_WITH
218,1,ASSOCIATED_WITH
219,1,ASSOCIATED_WITH
220,1,ASSOCIATED_WITH
221,1,ASSOCIATED_WITH
222,1,ASSOCIATED_WITH
223,1,ASSOCIATED_WITH
224,1,ASSOCIATED_WITH
225,1,ASSOCIATED_WITH
226,1,ASSOCIATED_WITH
227,1,ASSOCIATED_WITH
228,1,ASSOCIATED_WITH
229,1,ASSOCIATED_WITH
230,1,ASSOCIATED_WITH
231,1,ASSOCIATED_WITH
232,1,ASSOCIATED_WITH
233,1,ASSOCIATED_WITH
234,1,ASSOCIATED_WITH
235,1,ASSOCIATED_WITH
236,1,ASSOCIATED_WITH
237,1,ASSOCIATED_WITH
238,1,ASSOCIATED_WITH
239,1,ASSOCIATED_WITH
240,1,ASSOCIATED_WITH
241,1,ASSOCIATED_WITH
242,1,ASSOCIATED_WITH
252,1,ASSOCIATED_WITH
253,1,ASSOCIATED_WITH
254,1,ASSOCIATED_WITH
255,1,ASSOCIATED_WITH
256,1,ASSOCIATED_WITH
257,1,ASSOCIATED_WITH
258,1,ASSOCIATED_WITH
259,1,ASSOCIATED_WITH
260,1,ASSOCIATED_WITH
261,1,ASSOCIATED_WITH
262,1,ASSOCIATED_WITH
263,1,ASSOCIATED_WITH
264,1,ASSOCIATED_WITH
265,1,ASSOCIATED_WITH
266,1,ASSOCIATED_WITH
267,1,ASSOCIATED_WITH
268,1,ASSOCIATED_WITH
269,1,ASSOCIATED_WITH
270,1,ASSOCIATED_WITH
271,1,ASSOCIATED_WITH
272,1,ASSOCIATED_WITH
273,1,ASSOCIATED_WITH
274,1,ASSOCIATED_WITH
302,1,ASSOCIATED_WITH
303,1,ASSOCIATED_WITH
352,1,ASSOCIATED_WITH
353,1,ASSOCIATED_WITH
354,1,ASSOCIATED_WITH
355,1,ASSOCIATED_WITH
356,1,ASSOCIATED_WITH
357,1,ASSOCIATED_WITH
358,1,ASSOCIATED_WITH
359,1,ASSOCIATED_WITH
402,241,ASSOCIATED_WITH
403,241,ASSOCIATED_WITH
404,241,ASSOCIATED_WITH
405,241,ASSOCIATED_WITH
452,241,ASSOCIATED_WITH
