start_id,end_id,type
2,,ASSOCIATED_WITH
3,,ASSOCIATED_WITH
4,,ASSOCIATED_WITH
102,,ASSOCIATED_WITH
103,,ASSOCIATED_WITH
152,,ASSOCIATED_WITH
153,1887.0,ASSOCIATED_WITH
154,3.0,ASSOCIATED_WITH
203,,ASSOCIATED_WITH
204,,ASSOCIATED_WITH
252,,ASSOCIATED_WITH
352,,ASSOCIATED_WITH
403,,ASSOCIATED_WITH
452,,ASSOCIATED_WITH
652,,ASSOCIATED_WITH
702,,ASSOCIATED_WITH
752,,ASSOCIATED_WITH
802,,ASSOCIATED_WITH
852,,ASSOCIATED_WITH
952,211.0,ASSOCIATED_WITH
1002,,ASSOCIATED_WITH
1152,,ASSOCIATED_WITH
1157,,ASSOCIATED_WITH
1202,,ASSOCIATED_WITH
1252,,ASSOCIATED_WITH
1254,,ASSOCIATED_WITH
1255,,ASSOCIATED_WITH
1302,,ASSOCIATED_WITH
1353,,ASSOCIATED_WITH
1402,,ASSOCIATED_WITH
1602,,ASSOCIATED_WITH
1603,,ASSOCIATED_WITH
1652,,ASSOCIATED_WITH
1702,,ASSOCIATED_WITH
1703,,ASSOCIATED_WITH
