start_id,end_id,type
1,953,RECEIVER
2,954,RECEIVER
3,953,RECEIVER
52,53,RECEIVER
102,1053,RECEIVER
104,1053,RECEIVER
105,953,RECEIVER
106,1152,RECEIVER
107,805,RECEIVER
108,953,RECEIVER
109,953,RECEIVER
110,1153,RECEIVER
112,1154,RECEIVER
113,1155,RECEIVER
114,1156,RECEIVER
115,1156,RECEIVER
152,1202,RECEIVER
202,258,RECEIVER
205,258,RECEIVER
206,1252,RECEIVER
252,1354,RECEIVER
254,1354,RECEIVER
302,605,RECEIVER
304,605,RECEIVER
352,2360,RECEIVER
353,2361,RECEIVER
354,2362,RECEIVER
402,2402,RECEIVER
452,2456,RECEIVER
502,307,RECEIVER
503,307,RECEIVER
504,2553,RECEIVER
556,1702,RECEIVER
603,103,RECEIVER
652,3154,RECEIVER
702,402,RECEIVER
752,3552,RECEIVER
802,2653,RECEIVER
852,3805,RECEIVER
853,3806,RECEIVER
854,205,RECEIVER
902,3852,RECEIVER
903,53,RECEIVER
904,4,RECEIVER
952,1303,RECEIVER
1002,3952,RECEIVER
1052,2052,RECEIVER
1053,4053,RECEIVER
1054,4054,RECEIVER
1102,4102,RECEIVER
1153,307,RECEIVER
1154,307,RECEIVER
1202,4202,RECEIVER
1207,2052,RECEIVER
1252,402,RECEIVER
