start_id,end_id,type
1,805,SENDER
2,953,SENDER
3,953,SENDER
52,805,SENDER
102,805,SENDER
104,805,SENDER
105,805,SENDER
106,805,SENDER
107,1152,SENDER
108,1152,SENDER
109,1152,SENDER
110,805,SENDER
112,805,SENDER
113,805,SENDER
114,805,SENDER
115,805,SENDER
152,805,SENDER
202,303,SENDER
205,303,SENDER
206,303,SENDER
252,206,SENDER
254,206,SENDER
302,356,SENDER
304,356,SENDER
352,303,SENDER
353,258,SENDER
354,303,SENDER
402,303,SENDER
452,58,SENDER
502,202,SENDER
503,208,SENDER
504,103,SENDER
556,356,SENDER
603,356,SENDER
652,58,SENDER
702,356,SENDER
752,3552,SENDER
802,356,SENDER
852,58,SENDER
853,58,SENDER
854,58,SENDER
902,307,SENDER
903,5,SENDER
904,58,SENDER
952,58,SENDER
1002,307,SENDER
1052,56,SENDER
1053,56,SENDER
1054,5,SENDER
1102,56,SENDER
1153,56,SENDER
1154,307,SENDER
1202,307,SENDER
1207,58,SENDER
1252,103,SENDER
