start_id,end_id,type
2,3.0,ASSOCIATED_WITH
52,3.0,ASSOCIATED_WITH
53,2.0,ASSOCIATED_WITH
54,,ASSOCIATED_WITH
102,,ASSOCIATED_WITH
103,,ASSOCIATED_WITH
105,,ASSOCIATED_WITH
152,1.0,ASSOCIATED_WITH
153,1.0,ASSOCIATED_WITH
154,1.0,ASSOCIATED_WITH
203,4.0,ASSOCIATED_WITH
252,,ASSOCIATED_WITH
253,1.0,ASSOCIATED_WITH
254,2.0,ASSOCIATED_WITH
302,1.0,ASSOCIATED_WITH
352,3.0,ASSOCIATED_WITH
353,,ASSOCIATED_WITH
402,5.0,ASSOCIATED_WITH
403,4.0,ASSOCIATED_WITH
404,2.0,ASSOCIATED_WITH
405,2.0,ASSOCIATED_WITH
452,7.0,ASSOCIATED_WITH
502,4.0,ASSOCIATED_WITH
503,,ASSOCIATED_WITH
602,1.0,ASSOCIATED_WITH
652,1.0,ASSOCIATED_WITH
702,1.0,ASSOCIATED_WITH
752,2.0,ASSOCIATED_WITH
802,3.0,ASSOCIATED_WITH
852,7.0,ASSOCIATED_WITH
952,,ASSOCIATED_WITH
1002,1.0,ASSOCIATED_WITH
1052,2.0,ASSOCIATED_WITH
1102,3.0,ASSOCIATED_WITH
1103,2.0,ASSOCIATED_WITH
1152,,ASSOCIATED_WITH
1202,1.0,ASSOCIATED_WITH
1203,1.0,ASSOCIATED_WITH
1252,4.0,ASSOCIATED_WITH
1302,5.0,ASSOCIATED_WITH
1303,,ASSOCIATED_WITH
