start_id,end_id,type
1,1,ASSOCIATED_WITH
2,1,ASSOCIATED_WITH
3,1,ASSOCIATED_WITH
4,1,ASSOCIATED_WITH
5,1,ASSOCIATED_WITH
6,1,ASSOCIATED_WITH
7,1,ASSOCIATED_WITH
8,1,ASSOCIATED_WITH
9,1,ASSOCIATED_WITH
10,1,ASSOCIATED_WITH
11,1,ASSOCIATED_WITH
12,2,ASSOCIATED_WITH
13,2,ASSOCIATED_WITH
14,2,ASSOCIATED_WITH
15,3,ASSOCIATED_WITH
16,3,ASSOCIATED_WITH
17,3,ASSOCIATED_WITH
18,3,ASSOCIATED_WITH
19,3,ASSOCIATED_WITH
20,3,ASSOCIATED_WITH
21,3,ASSOCIATED_WITH
22,3,ASSOCIATED_WITH
23,3,ASSOCIATED_WITH
24,3,ASSOCIATED_WITH
25,3,ASSOCIATED_WITH
26,3,ASSOCIATED_WITH
27,3,ASSOCIATED_WITH
28,4,ASSOCIATED_WITH
29,4,ASSOCIATED_WITH
30,4,ASSOCIATED_WITH
31,4,ASSOCIATED_WITH
32,4,ASSOCIATED_WITH
33,4,ASSOCIATED_WITH
34,4,ASSOCIATED_WITH
35,4,ASSOCIATED_WITH
36,4,ASSOCIATED_WITH
37,5,ASSOCIATED_WITH
38,5,ASSOCIATED_WITH
39,5,ASSOCIATED_WITH
40,6,ASSOCIATED_WITH
41,6,ASSOCIATED_WITH
42,6,ASSOCIATED_WITH
43,6,ASSOCIATED_WITH
44,6,ASSOCIATED_WITH
45,6,ASSOCIATED_WITH
46,6,ASSOCIATED_WITH
47,7,ASSOCIATED_WITH
48,7,ASSOCIATED_WITH
49,7,ASSOCIATED_WITH
50,7,ASSOCIATED_WITH
51,7,ASSOCIATED_WITH
52,7,ASSOCIATED_WITH
53,7,ASSOCIATED_WITH
54,8,ASSOCIATED_WITH
55,8,ASSOCIATED_WITH
56,8,ASSOCIATED_WITH
57,8,ASSOCIATED_WITH
58,8,ASSOCIATED_WITH
59,8,ASSOCIATED_WITH
60,8,ASSOCIATED_WITH
61,9,ASSOCIATED_WITH
62,10,ASSOCIATED_WITH
63,10,ASSOCIATED_WITH
64,10,ASSOCIATED_WITH
65,10,ASSOCIATED_WITH
66,10,ASSOCIATED_WITH
67,10,ASSOCIATED_WITH
68,11,ASSOCIATED_WITH
69,11,ASSOCIATED_WITH
70,11,ASSOCIATED_WITH
71,11,ASSOCIATED_WITH
72,11,ASSOCIATED_WITH
73,12,ASSOCIATED_WITH
74,12,ASSOCIATED_WITH
75,12,ASSOCIATED_WITH
76,12,ASSOCIATED_WITH
77,12,ASSOCIATED_WITH
78,13,ASSOCIATED_WITH
79,13,ASSOCIATED_WITH
80,13,ASSOCIATED_WITH
81,13,ASSOCIATED_WITH
