start_id,end_id,type
1,1,ASSOCIATED_WITH
2,2,ASSOCIATED_WITH
52,52,ASSOCIATED_WITH
52,502,ASSOCIATED_WITH
52,1752,ASSOCIATED_WITH
52,1753,ASSOCIATED_WITH
52,1754,ASSOCIATED_WITH
52,1755,ASSOCIATED_WITH
52,2152,ASSOCIATED_WITH
52,2153,ASSOCIATED_WITH
52,2154,ASSOCIATED_WITH
52,2155,ASSOCIATED_WITH
53,53,ASSOCIATED_WITH
53,652,ASSOCIATED_WITH
54,509,ASSOCIATED_WITH
55,505,ASSOCIATED_WITH
55,506,ASSOCIATED_WITH
55,603,ASSOCIATED_WITH
55,604,ASSOCIATED_WITH
55,2052,ASSOCIATED_WITH
102,103,ASSOCIATED_WITH
102,558,ASSOCIATED_WITH
103,105,ASSOCIATED_WITH
103,106,ASSOCIATED_WITH
152,1989,ASSOCIATED_WITH
152,1990,ASSOCIATED_WITH
152,2306,ASSOCIATED_WITH
152,2307,ASSOCIATED_WITH
152,2308,ASSOCIATED_WITH
202,202,ASSOCIATED_WITH
252,252,ASSOCIATED_WITH
252,253,ASSOCIATED_WITH
253,254,ASSOCIATED_WITH
253,255,ASSOCIATED_WITH
254,256,ASSOCIATED_WITH
254,257,ASSOCIATED_WITH
255,258,ASSOCIATED_WITH
255,259,ASSOCIATED_WITH
256,260,ASSOCIATED_WITH
256,261,ASSOCIATED_WITH
302,302,ASSOCIATED_WITH
352,352,ASSOCIATED_WITH
352,353,ASSOCIATED_WITH
402,402,ASSOCIATED_WITH
402,403,ASSOCIATED_WITH
452,452,ASSOCIATED_WITH
452,453,ASSOCIATED_WITH
453,454,ASSOCIATED_WITH
454,455,ASSOCIATED_WITH
455,456,ASSOCIATED_WITH
502,515,ASSOCIATED_WITH
503,511,ASSOCIATED_WITH
503,512,ASSOCIATED_WITH
552,552,ASSOCIATED_WITH
552,553,ASSOCIATED_WITH
552,2269,ASSOCIATED_WITH
552,2270,ASSOCIATED_WITH
552,2271,ASSOCIATED_WITH
552,2272,ASSOCIATED_WITH
553,554,ASSOCIATED_WITH
553,555,ASSOCIATED_WITH
554,557,ASSOCIATED_WITH
602,602,ASSOCIATED_WITH
603,605,ASSOCIATED_WITH
603,2405,ASSOCIATED_WITH
603,2406,ASSOCIATED_WITH
603,2407,ASSOCIATED_WITH
603,2408,ASSOCIATED_WITH
603,2409,ASSOCIATED_WITH
603,2410,ASSOCIATED_WITH
652,702,ASSOCIATED_WITH
702,752,ASSOCIATED_WITH
703,753,ASSOCIATED_WITH
802,952,ASSOCIATED_WITH
803,953,ASSOCIATED_WITH
804,954,ASSOCIATED_WITH
804,2156,ASSOCIATED_WITH
804,2157,ASSOCIATED_WITH
852,2453,ASSOCIATED_WITH
852,2454,ASSOCIATED_WITH
852,2455,ASSOCIATED_WITH
852,2456,ASSOCIATED_WITH
852,2457,ASSOCIATED_WITH
853,1006,ASSOCIATED_WITH
858,1015,ASSOCIATED_WITH
902,1052,ASSOCIATED_WITH
903,1053,ASSOCIATED_WITH
904,1054,ASSOCIATED_WITH
952,1102,ASSOCIATED_WITH
953,1105,ASSOCIATED_WITH
954,1106,ASSOCIATED_WITH
1002,1454,ASSOCIATED_WITH
1052,1502,ASSOCIATED_WITH
1053,1503,ASSOCIATED_WITH
1054,1504,ASSOCIATED_WITH
1102,1602,ASSOCIATED_WITH
1102,2276,ASSOCIATED_WITH
1252,1756,ASSOCIATED_WITH
1352,1852,ASSOCIATED_WITH
1352,1853,ASSOCIATED_WITH
1353,1854,ASSOCIATED_WITH
1403,2003,ASSOCIATED_WITH
1452,2102,ASSOCIATED_WITH
1453,2104,ASSOCIATED_WITH
1502,2202,ASSOCIATED_WITH
1503,2203,ASSOCIATED_WITH
1504,2204,ASSOCIATED_WITH
1505,2205,ASSOCIATED_WITH
1506,2206,ASSOCIATED_WITH
1507,2207,ASSOCIATED_WITH
1508,2208,ASSOCIATED_WITH
1552,2252,ASSOCIATED_WITH
1552,2253,ASSOCIATED_WITH
1553,2254,ASSOCIATED_WITH
1554,2255,ASSOCIATED_WITH
1554,2256,ASSOCIATED_WITH
1555,2257,ASSOCIATED_WITH
1556,2258,ASSOCIATED_WITH
1557,2259,ASSOCIATED_WITH
1558,2260,ASSOCIATED_WITH
1559,2261,ASSOCIATED_WITH
1560,2262,ASSOCIATED_WITH
1561,2263,ASSOCIATED_WITH
1562,2264,ASSOCIATED_WITH
1563,2265,ASSOCIATED_WITH
1564,2266,ASSOCIATED_WITH
1565,2267,ASSOCIATED_WITH
1566,2268,ASSOCIATED_WITH
1567,2273,ASSOCIATED_WITH
1568,2274,ASSOCIATED_WITH
1569,2275,ASSOCIATED_WITH
1602,2302,ASSOCIATED_WITH
1603,2303,ASSOCIATED_WITH
1604,2304,ASSOCIATED_WITH
1605,2305,ASSOCIATED_WITH
1606,2309,ASSOCIATED_WITH
1652,2403,ASSOCIATED_WITH
1653,2404,ASSOCIATED_WITH
1702,2452,ASSOCIATED_WITH
1752,2502,ASSOCIATED_WITH
1802,2552,ASSOCIATED_WITH
1803,2553,ASSOCIATED_WITH
1804,2554,ASSOCIATED_WITH
1805,2555,ASSOCIATED_WITH
1806,2556,ASSOCIATED_WITH
1807,2557,ASSOCIATED_WITH
1852,2602,ASSOCIATED_WITH
1902,2652,ASSOCIATED_WITH
