start_id,end_id,type
52,1,ASSOCIATED_WITH
53,2,ASSOCIATED_WITH
54,3,ASSOCIATED_WITH
55,4,ASSOCIATED_WITH
56,5,ASSOCIATED_WITH
58,6,ASSOCIATED_WITH
59,7,ASSOCIATED_WITH
60,8,ASSOCIATED_WITH
61,9,ASSOCIATED_WITH
62,10,ASSOCIATED_WITH
63,11,ASSOCIATED_WITH
64,12,ASSOCIATED_WITH
65,13,ASSOCIATED_WITH
102,52,ASSOCIATED_WITH
152,102,ASSOCIATED_WITH
153,103,ASSOCIATED_WITH
154,104,ASSOCIATED_WITH
155,105,ASSOCIATED_WITH
202,152,ASSOCIATED_WITH
204,153,ASSOCIATED_WITH
205,154,ASSOCIATED_WITH
252,202,ASSOCIATED_WITH
253,203,ASSOCIATED_WITH
254,204,ASSOCIATED_WITH
256,205,ASSOCIATED_WITH
257,206,ASSOCIATED_WITH
258,207,ASSOCIATED_WITH
259,302,ASSOCIATED_WITH
304,253,ASSOCIATED_WITH
352,352,ASSOCIATED_WITH
402,402,ASSOCIATED_WITH
403,403,ASSOCIATED_WITH
452,452,ASSOCIATED_WITH
453,453,ASSOCIATED_WITH
454,454,ASSOCIATED_WITH
455,455,ASSOCIATED_WITH
456,456,ASSOCIATED_WITH
456,457,ASSOCIATED_WITH
457,458,ASSOCIATED_WITH
458,459,ASSOCIATED_WITH
458,460,ASSOCIATED_WITH
502,502,ASSOCIATED_WITH
554,552,ASSOCIATED_WITH
555,553,ASSOCIATED_WITH
602,602,ASSOCIATED_WITH
702,652,ASSOCIATED_WITH
702,653,ASSOCIATED_WITH
702,654,ASSOCIATED_WITH
752,702,ASSOCIATED_WITH
752,703,ASSOCIATED_WITH
752,704,ASSOCIATED_WITH
803,753,ASSOCIATED_WITH
852,802,ASSOCIATED_WITH
902,852,ASSOCIATED_WITH
903,853,ASSOCIATED_WITH
903,854,ASSOCIATED_WITH
904,855,ASSOCIATED_WITH
904,856,ASSOCIATED_WITH
905,857,ASSOCIATED_WITH
906,858,ASSOCIATED_WITH
952,910,ASSOCIATED_WITH
1002,1002,ASSOCIATED_WITH
1003,1004,ASSOCIATED_WITH
1052,1052,ASSOCIATED_WITH
1053,1053,ASSOCIATED_WITH
1053,1054,ASSOCIATED_WITH
1053,1055,ASSOCIATED_WITH
1102,1102,ASSOCIATED_WITH
1103,1103,ASSOCIATED_WITH
1104,1104,ASSOCIATED_WITH
1105,1105,ASSOCIATED_WITH
1106,1106,ASSOCIATED_WITH
1107,1107,ASSOCIATED_WITH
1108,1108,ASSOCIATED_WITH
1109,1109,ASSOCIATED_WITH
1110,1110,ASSOCIATED_WITH
1111,1111,ASSOCIATED_WITH
1152,1152,ASSOCIATED_WITH
1153,1153,ASSOCIATED_WITH
1154,1154,ASSOCIATED_WITH
1155,1155,ASSOCIATED_WITH
1156,1156,ASSOCIATED_WITH
1157,1157,ASSOCIATED_WITH
1157,1158,ASSOCIATED_WITH
1158,1159,ASSOCIATED_WITH
1158,1160,ASSOCIATED_WITH
1159,1161,ASSOCIATED_WITH
1159,1162,ASSOCIATED_WITH
1202,1202,ASSOCIATED_WITH
1252,1252,ASSOCIATED_WITH
1252,1253,ASSOCIATED_WITH
1253,1254,ASSOCIATED_WITH
1253,1255,ASSOCIATED_WITH
1302,1302,ASSOCIATED_WITH
1352,1560,ASSOCIATED_WITH
1353,1561,ASSOCIATED_WITH
1402,1602,ASSOCIATED_WITH
1403,1603,ASSOCIATED_WITH
1404,1604,ASSOCIATED_WITH
1405,1605,ASSOCIATED_WITH
1406,1606,ASSOCIATED_WITH
1407,1607,ASSOCIATED_WITH
1408,1608,ASSOCIATED_WITH
1409,1609,ASSOCIATED_WITH
1410,1610,ASSOCIATED_WITH
1411,1611,ASSOCIATED_WITH
1412,1612,ASSOCIATED_WITH
1452,1652,ASSOCIATED_WITH
1502,1702,ASSOCIATED_WITH
1503,1703,ASSOCIATED_WITH
1504,1704,ASSOCIATED_WITH
1552,1752,ASSOCIATED_WITH
1552,1753,ASSOCIATED_WITH
1602,1802,ASSOCIATED_WITH
1602,1803,ASSOCIATED_WITH
1652,1852,ASSOCIATED_WITH
1653,1853,ASSOCIATED_WITH
1654,1854,ASSOCIATED_WITH
1655,1855,ASSOCIATED_WITH
1656,1856,ASSOCIATED_WITH
1657,1857,ASSOCIATED_WITH
1702,1902,ASSOCIATED_WITH
1752,1952,ASSOCIATED_WITH
1753,1953,ASSOCIATED_WITH
1754,1954,ASSOCIATED_WITH
1803,2002,ASSOCIATED_WITH
1852,2052,ASSOCIATED_WITH
1853,2053,ASSOCIATED_WITH
1854,2054,ASSOCIATED_WITH
1855,2055,ASSOCIATED_WITH
1855,2056,ASSOCIATED_WITH
1856,2057,ASSOCIATED_WITH
1902,2102,ASSOCIATED_WITH
1903,2103,ASSOCIATED_WITH
1952,2152,ASSOCIATED_WITH
1953,2153,ASSOCIATED_WITH
1954,2154,ASSOCIATED_WITH
1955,2155,ASSOCIATED_WITH
1956,2156,ASSOCIATED_WITH
1957,2157,ASSOCIATED_WITH
1958,2158,ASSOCIATED_WITH
2002,2202,ASSOCIATED_WITH
2052,2252,ASSOCIATED_WITH
2102,2302,ASSOCIATED_WITH
2152,2402,ASSOCIATED_WITH
2153,2403,ASSOCIATED_WITH
2202,2452,ASSOCIATED_WITH
2252,2502,ASSOCIATED_WITH
2253,2503,ASSOCIATED_WITH
2253,2504,ASSOCIATED_WITH
2254,2505,ASSOCIATED_WITH
2255,2506,ASSOCIATED_WITH
2302,2552,ASSOCIATED_WITH
2303,2553,ASSOCIATED_WITH
2304,2554,ASSOCIATED_WITH
2305,2555,ASSOCIATED_WITH
2306,2556,ASSOCIATED_WITH
2307,2557,ASSOCIATED_WITH
2308,2558,ASSOCIATED_WITH
2309,2559,ASSOCIATED_WITH
2310,2560,ASSOCIATED_WITH
2311,2561,ASSOCIATED_WITH
2312,2562,ASSOCIATED_WITH
2313,2563,ASSOCIATED_WITH
2314,2564,ASSOCIATED_WITH
2352,2602,ASSOCIATED_WITH
2353,2603,ASSOCIATED_WITH
2354,2604,ASSOCIATED_WITH
2355,2606,ASSOCIATED_WITH
2356,2605,ASSOCIATED_WITH
2357,2607,ASSOCIATED_WITH
2358,2608,ASSOCIATED_WITH
2359,2609,ASSOCIATED_WITH
2360,2610,ASSOCIATED_WITH
2361,2611,ASSOCIATED_WITH
2362,2612,ASSOCIATED_WITH
2402,2652,ASSOCIATED_WITH
2403,2653,ASSOCIATED_WITH
2404,2654,ASSOCIATED_WITH
2452,2702,ASSOCIATED_WITH
2453,2703,ASSOCIATED_WITH
2454,2704,ASSOCIATED_WITH
2455,2705,ASSOCIATED_WITH
2456,2706,ASSOCIATED_WITH
2457,2707,ASSOCIATED_WITH
2460,2712,ASSOCIATED_WITH
2461,2713,ASSOCIATED_WITH
2462,2714,ASSOCIATED_WITH
2463,2715,ASSOCIATED_WITH
2464,2716,ASSOCIATED_WITH
2465,2717,ASSOCIATED_WITH
2466,2718,ASSOCIATED_WITH
2467,2719,ASSOCIATED_WITH
2468,2720,ASSOCIATED_WITH
2502,2752,ASSOCIATED_WITH
2502,2753,ASSOCIATED_WITH
2503,2754,ASSOCIATED_WITH
2504,2755,ASSOCIATED_WITH
2505,2756,ASSOCIATED_WITH
2552,2802,ASSOCIATED_WITH
2553,2803,ASSOCIATED_WITH
2602,2852,ASSOCIATED_WITH
2652,2902,ASSOCIATED_WITH
2702,2952,ASSOCIATED_WITH
2703,2953,ASSOCIATED_WITH
2704,2954,ASSOCIATED_WITH
2705,2955,ASSOCIATED_WITH
2706,2956,ASSOCIATED_WITH
2707,2957,ASSOCIATED_WITH
2707,2958,ASSOCIATED_WITH
2708,2959,ASSOCIATED_WITH
2709,2960,ASSOCIATED_WITH
2710,2961,ASSOCIATED_WITH
2711,2962,ASSOCIATED_WITH
2712,2963,ASSOCIATED_WITH
2713,2964,ASSOCIATED_WITH
2714,2965,ASSOCIATED_WITH
2715,2966,ASSOCIATED_WITH
2716,2967,ASSOCIATED_WITH
2717,2968,ASSOCIATED_WITH
2718,2969,ASSOCIATED_WITH
2719,2970,ASSOCIATED_WITH
2752,3002,ASSOCIATED_WITH
2753,3003,ASSOCIATED_WITH
2754,3004,ASSOCIATED_WITH
2755,3005,ASSOCIATED_WITH
2756,3006,ASSOCIATED_WITH
2757,3007,ASSOCIATED_WITH
2758,3008,ASSOCIATED_WITH
2759,3009,ASSOCIATED_WITH
2802,3052,ASSOCIATED_WITH
2803,3053,ASSOCIATED_WITH
2804,3054,ASSOCIATED_WITH
2805,3055,ASSOCIATED_WITH
2806,3056,ASSOCIATED_WITH
2807,3057,ASSOCIATED_WITH
2807,3058,ASSOCIATED_WITH
2808,3059,ASSOCIATED_WITH
2809,3060,ASSOCIATED_WITH
2810,3061,ASSOCIATED_WITH
2811,3062,ASSOCIATED_WITH
2812,3063,ASSOCIATED_WITH
2813,3064,ASSOCIATED_WITH
2814,3065,ASSOCIATED_WITH
