start_id,end_id,type
1,905,ASSOCIATED_WITH
2,905,ASSOCIATED_WITH
3,905,ASSOCIATED_WITH
4,905,ASSOCIATED_WITH
5,905,ASSOCIATED_WITH
6,905,ASSOCIATED_WITH
7,905,ASSOCIATED_WITH
8,905,ASSOCIATED_WITH
9,905,ASSOCIATED_WITH
10,905,ASSOCIATED_WITH
52,905,ASSOCIATED_WITH
102,1002,ASSOCIATED_WITH
152,1302,ASSOCIATED_WITH
153,1302,ASSOCIATED_WITH
202,1302,ASSOCIATED_WITH
203,1302,ASSOCIATED_WITH
204,1302,ASSOCIATED_WITH
205,1253,ASSOCIATED_WITH
206,1302,ASSOCIATED_WITH
207,1302,ASSOCIATED_WITH
208,1302,ASSOCIATED_WITH
209,1302,ASSOCIATED_WITH
210,1302,ASSOCIATED_WITH
211,1302,ASSOCIATED_WITH
212,1302,ASSOCIATED_WITH
213,1302,ASSOCIATED_WITH
214,1302,ASSOCIATED_WITH
215,1253,ASSOCIATED_WITH
216,1302,ASSOCIATED_WITH
217,1302,ASSOCIATED_WITH
218,1302,ASSOCIATED_WITH
219,1302,ASSOCIATED_WITH
220,1302,ASSOCIATED_WITH
221,1302,ASSOCIATED_WITH
222,1302,ASSOCIATED_WITH
223,1302,ASSOCIATED_WITH
224,1302,ASSOCIATED_WITH
225,1302,ASSOCIATED_WITH
226,1302,ASSOCIATED_WITH
227,1302,ASSOCIATED_WITH
228,1302,ASSOCIATED_WITH
229,1302,ASSOCIATED_WITH
230,1302,ASSOCIATED_WITH
231,1302,ASSOCIATED_WITH
232,1302,ASSOCIATED_WITH
233,1302,ASSOCIATED_WITH
234,1302,ASSOCIATED_WITH
235,1302,ASSOCIATED_WITH
236,1302,ASSOCIATED_WITH
237,1302,ASSOCIATED_WITH
238,1302,ASSOCIATED_WITH
239,1302,ASSOCIATED_WITH
240,1302,ASSOCIATED_WITH
241,1302,ASSOCIATED_WITH
242,1302,ASSOCIATED_WITH
252,1302,ASSOCIATED_WITH
253,1302,ASSOCIATED_WITH
254,1302,ASSOCIATED_WITH
255,1302,ASSOCIATED_WITH
256,1302,ASSOCIATED_WITH
257,1302,ASSOCIATED_WITH
258,1302,ASSOCIATED_WITH
259,1302,ASSOCIATED_WITH
260,1302,ASSOCIATED_WITH
261,1302,ASSOCIATED_WITH
262,1302,ASSOCIATED_WITH
263,1302,ASSOCIATED_WITH
264,1302,ASSOCIATED_WITH
265,1302,ASSOCIATED_WITH
266,1302,ASSOCIATED_WITH
267,1302,ASSOCIATED_WITH
268,1253,ASSOCIATED_WITH
269,1302,ASSOCIATED_WITH
270,1302,ASSOCIATED_WITH
271,1302,ASSOCIATED_WITH
272,1302,ASSOCIATED_WITH
273,1302,ASSOCIATED_WITH
274,1302,ASSOCIATED_WITH
302,1155,ASSOCIATED_WITH
303,1302,ASSOCIATED_WITH
352,1302,ASSOCIATED_WITH
353,1302,ASSOCIATED_WITH
354,1302,ASSOCIATED_WITH
355,1302,ASSOCIATED_WITH
356,1302,ASSOCIATED_WITH
357,1302,ASSOCIATED_WITH
358,1302,ASSOCIATED_WITH
359,1302,ASSOCIATED_WITH
402,1403,ASSOCIATED_WITH
403,1403,ASSOCIATED_WITH
404,1403,ASSOCIATED_WITH
405,1403,ASSOCIATED_WITH
452,1803,ASSOCIATED_WITH
