start_id,end_id,type
en-US,552,ASSOCIATED_WITH
en-US,805,ASSOCIATED_WITH
en-US,302,ASSOCIATED_WITH
en-IN,257,ASSOCIATED_WITH
en-US,2002,ASSOCIATED_WITH
en-US,106,ASSOCIATED_WITH
en-US,54,ASSOCIATED_WITH
en-US,1652,ASSOCIATED_WITH
en-US,2253,ASSOCIATED_WITH
en-GB,2252,ASSOCIATED_WITH
en-GB,2352,ASSOCIATED_WITH
en-US,2057,ASSOCIATED_WITH
en-US,2354,ASSOCIATED_WITH
en-US,2355,ASSOCIATED_WITH
en-US,2357,ASSOCIATED_WITH
en-US,2358,ASSOCIATED_WITH
en-US,2360,ASSOCIATED_WITH
en-US,2356,ASSOCIATED_WITH
en-US,2402,ASSOCIATED_WITH
en-US,3,ASSOCIATED_WITH
en-US,2452,ASSOCIATED_WITH
es-ES,2454,ASSOCIATED_WITH
es-MX,2453,ASSOCIATED_WITH
en-US,252,ASSOCIATED_WITH
en-US,4,ASSOCIATED_WITH
en-US,1003,ASSOCIATED_WITH
en-US,309,ASSOCIATED_WITH
en-US,2654,ASSOCIATED_WITH
en-US,2754,ASSOCIATED_WITH
en-US,203,ASSOCIATED_WITH
en-US,2802,ASSOCIATED_WITH
en-US,2804,ASSOCIATED_WITH
en-US,2803,ASSOCIATED_WITH
en-US,2805,ASSOCIATED_WITH
en-US,2852,ASSOCIATED_WITH
en-US,2854,ASSOCIATED_WITH
en-US,2853,ASSOCIATED_WITH
en-US,2359,ASSOCIATED_WITH
en-US,2952,ASSOCIATED_WITH
en-US,3003,ASSOCIATED_WITH
en-US,2254,ASSOCIATED_WITH
en-US,3052,ASSOCIATED_WITH
en-GB,2503,ASSOCIATED_WITH
en-US,3102,ASSOCIATED_WITH
en-US,953,ASSOCIATED_WITH
en-US,3352,ASSOCIATED_WITH
en-US,3452,ASSOCIATED_WITH
en-US,3155,ASSOCIATED_WITH
en-US,3504,ASSOCIATED_WITH
en-GB,55,ASSOCIATED_WITH
en-US,53,ASSOCIATED_WITH
en-US,3506,ASSOCIATED_WITH
en-US,3503,ASSOCIATED_WITH
en-US,2652,ASSOCIATED_WITH
en-GB,3602,ASSOCIATED_WITH
en-GB,258,ASSOCIATED_WITH
en-US,1702,ASSOCIATED_WITH
en-US,402,ASSOCIATED_WITH
en-US,107,ASSOCIATED_WITH
es-MX,1303,ASSOCIATED_WITH
en-US,2702,ASSOCIATED_WITH
en-US,3703,ASSOCIATED_WITH
en-US,206,ASSOCIATED_WITH
es-ES,1302,ASSOCIATED_WITH
en-US,3302,ASSOCIATED_WITH
en-US,254,ASSOCIATED_WITH
en-US,3752,ASSOCIATED_WITH
en-GB,2752,ASSOCIATED_WITH
en-US,1353,ASSOCIATED_WITH
en-US,205,ASSOCIATED_WITH
en-US,207,ASSOCIATED_WITH
en-US,902,ASSOCIATED_WITH
en-US,3702,ASSOCIATED_WITH
en-US,3853,ASSOCIATED_WITH
en-US,4053,ASSOCIATED_WITH
en-US,5,ASSOCIATED_WITH
en-US,3552,ASSOCIATED_WITH
en-US,1102,ASSOCIATED_WITH
en-US,303,ASSOCIATED_WITH
en-US,208,ASSOCIATED_WITH
en-US,202,ASSOCIATED_WITH
en-US,255,ASSOCIATED_WITH
en-US,103,ASSOCIATED_WITH
en-US,356,ASSOCIATED_WITH
en-US,56,ASSOCIATED_WITH
en-US,4252,ASSOCIATED_WITH
en-US,58,ASSOCIATED_WITH
en-US,307,ASSOCIATED_WITH
