start_id,end_id,type
Hello,1,ASSOCIATED_WITH
Hello,356,ASSOCIATED_WITH
Welcome,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,402,ASSOCIATED_WITH
Empty Message,356,ASSOCIATED_WITH
Empty Message,356,ASSOCIATED_WITH
Hello,356,ASSOCIATED_WITH
world,356,ASSOCIATED_WITH
Hello,356,ASSOCIATED_WITH
Hello,356,ASSOCIATED_WITH
Palao,402,ASSOCIATED_WITH
Palao,402,ASSOCIATED_WITH
Yes,402,ASSOCIATED_WITH
Hello,356,ASSOCIATED_WITH
Yes,402,ASSOCIATED_WITH
Hello,356,ASSOCIATED_WITH
Hello Fake,3,ASSOCIATED_WITH
I'm fine. What do you do?,1702,ASSOCIATED_WITH
I'm working on the pamifactura web application.,402,ASSOCIATED_WITH
Hi,4,ASSOCIATED_WITH
I'm fine. What do you do?,356,ASSOCIATED_WITH
from here,1702,ASSOCIATED_WITH
Hello,4,ASSOCIATED_WITH
Test,1702,ASSOCIATED_WITH
Hello again,356,ASSOCIATED_WITH
Hello,103,ASSOCIATED_WITH
Hola Fernando,307,ASSOCIATED_WITH
Holas Kania :-),307,ASSOCIATED_WITH
Hello Ashir :-),307,ASSOCIATED_WITH
Hello Hassan :-),307,ASSOCIATED_WITH
Hello Dmytro :-),307,ASSOCIATED_WITH
Hello Ray,307,ASSOCIATED_WITH
Hello,58,ASSOCIATED_WITH
hi,58,ASSOCIATED_WITH
hello,254,ASSOCIATED_WITH
hi ,56,ASSOCIATED_WITH
Hello,307,ASSOCIATED_WITH
hello,53,ASSOCIATED_WITH
hi,58,ASSOCIATED_WITH
Hi hassan,7,ASSOCIATED_WITH
Hi  there,58,ASSOCIATED_WITH
Hi dmytro. are you there,58,ASSOCIATED_WITH
hello,56,ASSOCIATED_WITH
hello,107,ASSOCIATED_WITH
Hello,5,ASSOCIATED_WITH
please send me a message,5,ASSOCIATED_WITH
Hi there i am yonas,58,ASSOCIATED_WITH
Hi dmytro,58,ASSOCIATED_WITH
