start_id,end_id,type
1,356,ASSOCIATED_WITH
2,402,ASSOCIATED_WITH
3,402,ASSOCIATED_WITH
4,356,ASSOCIATED_WITH
5,402,ASSOCIATED_WITH
6,356,ASSOCIATED_WITH
7,356,ASSOCIATED_WITH
8,402,ASSOCIATED_WITH
9,402,ASSOCIATED_WITH
10,356,ASSOCIATED_WITH
11,402,ASSOCIATED_WITH
12,356,ASSOCIATED_WITH
13,402,ASSOCIATED_WITH
14,356,ASSOCIATED_WITH
15,356,ASSOCIATED_WITH
16,402,ASSOCIATED_WITH
17,402,ASSOCIATED_WITH
18,356,ASSOCIATED_WITH
19,356,ASSOCIATED_WITH
20,402,ASSOCIATED_WITH
21,356,ASSOCIATED_WITH
22,402,ASSOCIATED_WITH
23,356,ASSOCIATED_WITH
24,402,ASSOCIATED_WITH
25,356,ASSOCIATED_WITH
26,605,ASSOCIATED_WITH
27,605,ASSOCIATED_WITH
28,356,ASSOCIATED_WITH
29,356,ASSOCIATED_WITH
30,605,ASSOCIATED_WITH
31,356,ASSOCIATED_WITH
32,1702,ASSOCIATED_WITH
33,356,ASSOCIATED_WITH
34,402,ASSOCIATED_WITH
35,402,ASSOCIATED_WITH
36,356,ASSOCIATED_WITH
37,402,ASSOCIATED_WITH
38,356,ASSOCIATED_WITH
39,356,ASSOCIATED_WITH
40,402,ASSOCIATED_WITH
41,356,ASSOCIATED_WITH
42,402,ASSOCIATED_WITH
43,402,ASSOCIATED_WITH
44,356,ASSOCIATED_WITH
45,1702,ASSOCIATED_WITH
46,402,ASSOCIATED_WITH
47,1702,ASSOCIATED_WITH
48,402,ASSOCIATED_WITH
49,402,ASSOCIATED_WITH
50,1702,ASSOCIATED_WITH
51,1702,ASSOCIATED_WITH
52,356,ASSOCIATED_WITH
53,356,ASSOCIATED_WITH
54,1702,ASSOCIATED_WITH
55,356,ASSOCIATED_WITH
56,1702,ASSOCIATED_WITH
57,1702,ASSOCIATED_WITH
58,356,ASSOCIATED_WITH
59,1702,ASSOCIATED_WITH
60,356,ASSOCIATED_WITH
61,402,ASSOCIATED_WITH
62,356,ASSOCIATED_WITH
63,653,ASSOCIATED_WITH
64,103,ASSOCIATED_WITH
65,307,ASSOCIATED_WITH
66,1302,ASSOCIATED_WITH
67,307,ASSOCIATED_WITH
68,1303,ASSOCIATED_WITH
69,56,ASSOCIATED_WITH
70,307,ASSOCIATED_WITH
71,107,ASSOCIATED_WITH
72,307,ASSOCIATED_WITH
73,53,ASSOCIATED_WITH
74,307,ASSOCIATED_WITH
75,402,ASSOCIATED_WITH
76,307,ASSOCIATED_WITH
77,304,ASSOCIATED_WITH
78,58,ASSOCIATED_WITH
79,58,ASSOCIATED_WITH
80,304,ASSOCIATED_WITH
81,252,ASSOCIATED_WITH
82,254,ASSOCIATED_WITH
83,307,ASSOCIATED_WITH
84,56,ASSOCIATED_WITH
85,307,ASSOCIATED_WITH
86,107,ASSOCIATED_WITH
87,53,ASSOCIATED_WITH
88,307,ASSOCIATED_WITH
89,58,ASSOCIATED_WITH
90,304,ASSOCIATED_WITH
91,304,ASSOCIATED_WITH
92,58,ASSOCIATED_WITH
93,1607,ASSOCIATED_WITH
94,58,ASSOCIATED_WITH
95,58,ASSOCIATED_WITH
96,5,ASSOCIATED_WITH
97,56,ASSOCIATED_WITH
98,307,ASSOCIATED_WITH
99,307,ASSOCIATED_WITH
100,107,ASSOCIATED_WITH
101,58,ASSOCIATED_WITH
102,5,ASSOCIATED_WITH
103,58,ASSOCIATED_WITH
104,5,ASSOCIATED_WITH
105,58,ASSOCIATED_WITH
106,5,ASSOCIATED_WITH
107,58,ASSOCIATED_WITH
108,5,ASSOCIATED_WITH
109,107,ASSOCIATED_WITH
110,2453,ASSOCIATED_WITH
111,2453,ASSOCIATED_WITH
112,53,ASSOCIATED_WITH
113,107,ASSOCIATED_WITH
114,2453,ASSOCIATED_WITH
115,5,ASSOCIATED_WITH
116,107,ASSOCIATED_WITH
117,5,ASSOCIATED_WITH
118,107,ASSOCIATED_WITH
119,107,ASSOCIATED_WITH
120,5,ASSOCIATED_WITH
121,5,ASSOCIATED_WITH
122,107,ASSOCIATED_WITH
123,2453,ASSOCIATED_WITH
124,2455,ASSOCIATED_WITH
125,254,ASSOCIATED_WITH
126,252,ASSOCIATED_WITH
127,2052,ASSOCIATED_WITH
128,58,ASSOCIATED_WITH
129,58,ASSOCIATED_WITH
130,2052,ASSOCIATED_WITH
131,307,ASSOCIATED_WITH
132,208,ASSOCIATED_WITH
133,208,ASSOCIATED_WITH
134,307,ASSOCIATED_WITH
135,2555,ASSOCIATED_WITH
136,103,ASSOCIATED_WITH
137,356,ASSOCIATED_WITH
138,402,ASSOCIATED_WITH
139,402,ASSOCIATED_WITH
140,356,ASSOCIATED_WITH
141,402,ASSOCIATED_WITH
142,356,ASSOCIATED_WITH
143,402,ASSOCIATED_WITH
144,356,ASSOCIATED_WITH
145,1354,ASSOCIATED_WITH
146,206,ASSOCIATED_WITH
147,206,ASSOCIATED_WITH
148,1354,ASSOCIATED_WITH
149,1354,ASSOCIATED_WITH
150,206,ASSOCIATED_WITH
151,356,ASSOCIATED_WITH
152,605,ASSOCIATED_WITH
153,5,ASSOCIATED_WITH
154,2253,ASSOCIATED_WITH
155,206,ASSOCIATED_WITH
156,206,ASSOCIATED_WITH
157,206,ASSOCIATED_WITH
158,206,ASSOCIATED_WITH
159,206,ASSOCIATED_WITH
160,206,ASSOCIATED_WITH
161,1702,ASSOCIATED_WITH
162,356,ASSOCIATED_WITH
163,56,ASSOCIATED_WITH
164,58,ASSOCIATED_WITH
165,58,ASSOCIATED_WITH
166,304,ASSOCIATED_WITH
167,206,ASSOCIATED_WITH
168,206,ASSOCIATED_WITH
169,206,ASSOCIATED_WITH
170,206,ASSOCIATED_WITH
171,206,ASSOCIATED_WITH
172,206,ASSOCIATED_WITH
173,206,ASSOCIATED_WITH
174,206,ASSOCIATED_WITH
175,206,ASSOCIATED_WITH
176,206,ASSOCIATED_WITH
177,5,ASSOCIATED_WITH
178,5,ASSOCIATED_WITH
179,58,ASSOCIATED_WITH
180,58,ASSOCIATED_WITH
181,5,ASSOCIATED_WITH
182,58,ASSOCIATED_WITH
183,58,ASSOCIATED_WITH
184,5,ASSOCIATED_WITH
185,206,ASSOCIATED_WITH
186,206,ASSOCIATED_WITH
187,206,ASSOCIATED_WITH
188,206,ASSOCIATED_WITH
189,206,ASSOCIATED_WITH
190,206,ASSOCIATED_WITH
191,206,ASSOCIATED_WITH
192,206,ASSOCIATED_WITH
193,206,ASSOCIATED_WITH
194,206,ASSOCIATED_WITH
195,206,ASSOCIATED_WITH
196,206,ASSOCIATED_WITH
197,206,ASSOCIATED_WITH
198,206,ASSOCIATED_WITH
199,206,ASSOCIATED_WITH
200,206,ASSOCIATED_WITH
201,206,ASSOCIATED_WITH
202,206,ASSOCIATED_WITH
203,1354,ASSOCIATED_WITH
204,5,ASSOCIATED_WITH
205,58,ASSOCIATED_WITH
206,58,ASSOCIATED_WITH
207,5,ASSOCIATED_WITH
208,58,ASSOCIATED_WITH
209,5,ASSOCIATED_WITH
210,58,ASSOCIATED_WITH
211,5,ASSOCIATED_WITH
212,5,ASSOCIATED_WITH
213,58,ASSOCIATED_WITH
214,5,ASSOCIATED_WITH
215,5,ASSOCIATED_WITH
216,58,ASSOCIATED_WITH
217,1354,ASSOCIATED_WITH
218,5,ASSOCIATED_WITH
219,5,ASSOCIATED_WITH
220,1354,ASSOCIATED_WITH
221,1354,ASSOCIATED_WITH
222,5,ASSOCIATED_WITH
223,5,ASSOCIATED_WITH
224,1354,ASSOCIATED_WITH
225,1354,ASSOCIATED_WITH
226,5,ASSOCIATED_WITH
227,5,ASSOCIATED_WITH
228,1354,ASSOCIATED_WITH
229,5,ASSOCIATED_WITH
230,58,ASSOCIATED_WITH
231,5,ASSOCIATED_WITH
232,1354,ASSOCIATED_WITH
233,1354,ASSOCIATED_WITH
234,5,ASSOCIATED_WITH
235,1354,ASSOCIATED_WITH
236,5,ASSOCIATED_WITH
237,1354,ASSOCIATED_WITH
238,5,ASSOCIATED_WITH
239,5,ASSOCIATED_WITH
240,1354,ASSOCIATED_WITH
241,5,ASSOCIATED_WITH
242,1354,ASSOCIATED_WITH
243,5,ASSOCIATED_WITH
244,1354,ASSOCIATED_WITH
245,5,ASSOCIATED_WITH
246,1354,ASSOCIATED_WITH
247,1354,ASSOCIATED_WITH
248,5,ASSOCIATED_WITH
249,1354,ASSOCIATED_WITH
250,5,ASSOCIATED_WITH
251,1354,ASSOCIATED_WITH
252,206,ASSOCIATED_WITH
253,206,ASSOCIATED_WITH
254,206,ASSOCIATED_WITH
255,206,ASSOCIATED_WITH
256,206,ASSOCIATED_WITH
257,5,ASSOCIATED_WITH
258,1354,ASSOCIATED_WITH
259,5,ASSOCIATED_WITH
260,1354,ASSOCIATED_WITH
261,1354,ASSOCIATED_WITH
262,5,ASSOCIATED_WITH
263,5,ASSOCIATED_WITH
264,1354,ASSOCIATED_WITH
265,1354,ASSOCIATED_WITH
266,5,ASSOCIATED_WITH
267,206,ASSOCIATED_WITH
268,206,ASSOCIATED_WITH
269,206,ASSOCIATED_WITH
270,206,ASSOCIATED_WITH
271,1354,ASSOCIATED_WITH
272,206,ASSOCIATED_WITH
273,206,ASSOCIATED_WITH
274,1354,ASSOCIATED_WITH
275,206,ASSOCIATED_WITH
276,1354,ASSOCIATED_WITH
277,1354,ASSOCIATED_WITH
278,206,ASSOCIATED_WITH
279,1354,ASSOCIATED_WITH
280,206,ASSOCIATED_WITH
281,1354,ASSOCIATED_WITH
282,5,ASSOCIATED_WITH
283,1354,ASSOCIATED_WITH
284,5,ASSOCIATED_WITH
285,206,ASSOCIATED_WITH
286,206,ASSOCIATED_WITH
287,206,ASSOCIATED_WITH
288,206,ASSOCIATED_WITH
289,206,ASSOCIATED_WITH
290,206,ASSOCIATED_WITH
291,206,ASSOCIATED_WITH
292,206,ASSOCIATED_WITH
293,206,ASSOCIATED_WITH
294,206,ASSOCIATED_WITH
295,206,ASSOCIATED_WITH
296,206,ASSOCIATED_WITH
297,206,ASSOCIATED_WITH
298,206,ASSOCIATED_WITH
299,206,ASSOCIATED_WITH
300,206,ASSOCIATED_WITH
301,206,ASSOCIATED_WITH
302,206,ASSOCIATED_WITH
303,206,ASSOCIATED_WITH
304,206,ASSOCIATED_WITH
305,206,ASSOCIATED_WITH
306,206,ASSOCIATED_WITH
307,206,ASSOCIATED_WITH
308,206,ASSOCIATED_WITH
309,206,ASSOCIATED_WITH
310,206,ASSOCIATED_WITH
311,206,ASSOCIATED_WITH
312,206,ASSOCIATED_WITH
313,307,ASSOCIATED_WITH
314,208,ASSOCIATED_WITH
315,208,ASSOCIATED_WITH
316,307,ASSOCIATED_WITH
317,206,ASSOCIATED_WITH
318,206,ASSOCIATED_WITH
319,5,ASSOCIATED_WITH
320,58,ASSOCIATED_WITH
321,58,ASSOCIATED_WITH
322,5,ASSOCIATED_WITH
323,5,ASSOCIATED_WITH
324,58,ASSOCIATED_WITH
325,58,ASSOCIATED_WITH
