start_id,end_id,type
1,902,ASSOCIATED_WITH
2,903,ASSOCIATED_WITH
3,904,ASSOCIATED_WITH
4,905,ASSOCIATED_WITH
5,906,ASSOCIATED_WITH
6,907,ASSOCIATED_WITH
7,908,ASSOCIATED_WITH
8,909,ASSOCIATED_WITH
9,911,ASSOCIATED_WITH
10,912,ASSOCIATED_WITH
52,952,ASSOCIATED_WITH
102,1003,ASSOCIATED_WITH
152,1352,ASSOCIATED_WITH
153,1353,ASSOCIATED_WITH
202,1402,ASSOCIATED_WITH
203,1403,ASSOCIATED_WITH
204,1404,ASSOCIATED_WITH
205,1405,ASSOCIATED_WITH
206,1406,ASSOCIATED_WITH
207,1407,ASSOCIATED_WITH
208,1408,ASSOCIATED_WITH
209,1409,ASSOCIATED_WITH
210,1410,ASSOCIATED_WITH
211,1411,ASSOCIATED_WITH
212,1412,ASSOCIATED_WITH
213,1413,ASSOCIATED_WITH
214,1414,ASSOCIATED_WITH
215,1415,ASSOCIATED_WITH
216,1416,ASSOCIATED_WITH
217,1417,ASSOCIATED_WITH
218,1418,ASSOCIATED_WITH
219,1419,ASSOCIATED_WITH
220,1420,ASSOCIATED_WITH
221,1421,ASSOCIATED_WITH
222,1422,ASSOCIATED_WITH
223,1423,ASSOCIATED_WITH
224,1424,ASSOCIATED_WITH
225,1425,ASSOCIATED_WITH
226,1426,ASSOCIATED_WITH
227,1427,ASSOCIATED_WITH
228,1428,ASSOCIATED_WITH
229,1429,ASSOCIATED_WITH
230,1430,ASSOCIATED_WITH
231,1431,ASSOCIATED_WITH
232,1432,ASSOCIATED_WITH
233,1433,ASSOCIATED_WITH
234,1434,ASSOCIATED_WITH
235,1435,ASSOCIATED_WITH
236,1436,ASSOCIATED_WITH
237,1437,ASSOCIATED_WITH
238,1438,ASSOCIATED_WITH
239,1439,ASSOCIATED_WITH
240,1440,ASSOCIATED_WITH
241,1441,ASSOCIATED_WITH
242,1442,ASSOCIATED_WITH
252,1452,ASSOCIATED_WITH
253,1453,ASSOCIATED_WITH
254,1454,ASSOCIATED_WITH
255,1455,ASSOCIATED_WITH
256,1456,ASSOCIATED_WITH
257,1457,ASSOCIATED_WITH
258,1458,ASSOCIATED_WITH
259,1459,ASSOCIATED_WITH
260,1460,ASSOCIATED_WITH
261,1461,ASSOCIATED_WITH
262,1462,ASSOCIATED_WITH
263,1463,ASSOCIATED_WITH
264,1464,ASSOCIATED_WITH
265,1465,ASSOCIATED_WITH
266,1466,ASSOCIATED_WITH
267,1467,ASSOCIATED_WITH
268,1468,ASSOCIATED_WITH
269,1469,ASSOCIATED_WITH
270,1470,ASSOCIATED_WITH
271,1471,ASSOCIATED_WITH
272,1472,ASSOCIATED_WITH
273,1473,ASSOCIATED_WITH
274,1474,ASSOCIATED_WITH
302,1502,ASSOCIATED_WITH
303,1503,ASSOCIATED_WITH
352,1552,ASSOCIATED_WITH
353,1553,ASSOCIATED_WITH
354,1554,ASSOCIATED_WITH
355,1555,ASSOCIATED_WITH
356,1556,ASSOCIATED_WITH
357,1557,ASSOCIATED_WITH
358,1558,ASSOCIATED_WITH
359,1559,ASSOCIATED_WITH
402,1613,ASSOCIATED_WITH
403,1614,ASSOCIATED_WITH
404,1615,ASSOCIATED_WITH
405,1616,ASSOCIATED_WITH
452,2352,ASSOCIATED_WITH
