start_id,end_id,type
5,52,ASSOCIATED_WITH
53,52,ASSOCIATED_WITH
53,58,ASSOCIATED_WITH
107,5,ASSOCIATED_WITH
207,309,ASSOCIATED_WITH
56,58,ASSOCIATED_WITH
208,452,ASSOCIATED_WITH
208,453,ASSOCIATED_WITH
56,307,ASSOCIATED_WITH
502,503,ASSOCIATED_WITH
504,503,ASSOCIATED_WITH
56,552,ASSOCIATED_WITH
56,604,ASSOCIATED_WITH
255,256,ASSOCIATED_WITH
605,103,ASSOCIATED_WITH
107,307,ASSOCIATED_WITH
56,107,ASSOCIATED_WITH
107,56,ASSOCIATED_WITH
752,54,ASSOCIATED_WITH
754,54,ASSOCIATED_WITH
804,255,ASSOCIATED_WITH
258,303,ASSOCIATED_WITH
1002,255,ASSOCIATED_WITH
402,356,ASSOCIATED_WITH
953,805,ASSOCIATED_WITH
252,254,ASSOCIATED_WITH
1702,402,ASSOCIATED_WITH
1702,356,ASSOCIATED_WITH
54,54,ASSOCIATED_WITH
2058,2057,ASSOCIATED_WITH
258,2057,ASSOCIATED_WITH
53,307,ASSOCIATED_WITH
303,2252,ASSOCIATED_WITH
2253,5,ASSOCIATED_WITH
2254,303,ASSOCIATED_WITH
2254,2352,ASSOCIATED_WITH
5,58,ASSOCIATED_WITH
107,2453,ASSOCIATED_WITH
53,2453,ASSOCIATED_WITH
2455,2453,ASSOCIATED_WITH
5,206,ASSOCIATED_WITH
1102,307,ASSOCIATED_WITH
2653,356,ASSOCIATED_WITH
56,1802,ASSOCIATED_WITH
56,1803,ASSOCIATED_WITH
2752,206,ASSOCIATED_WITH
206,5,ASSOCIATED_WITH
56,2852,ASSOCIATED_WITH
2854,2853,ASSOCIATED_WITH
303,2355,ASSOCIATED_WITH
2702,2902,ASSOCIATED_WITH
307,2902,ASSOCIATED_WITH
303,2503,ASSOCIATED_WITH
56,3302,ASSOCIATED_WITH
208,202,ASSOCIATED_WITH
4002,208,ASSOCIATED_WITH
307,56,ASSOCIATED_WITH
202,208,ASSOCIATED_WITH
