start_id,end_id,type
2,254,ASSOCIATED_WITH
52,254,ASSOCIATED_WITH
53,254,ASSOCIATED_WITH
54,58,ASSOCIATED_WITH
102,356,ASSOCIATED_WITH
103,356,ASSOCIATED_WITH
105,58,ASSOCIATED_WITH
152,58,ASSOCIATED_WITH
153,58,ASSOCIATED_WITH
154,303,ASSOCIATED_WITH
203,254,ASSOCIATED_WITH
252,356,ASSOCIATED_WITH
253,207,ASSOCIATED_WITH
254,103,ASSOCIATED_WITH
302,303,ASSOCIATED_WITH
352,5,ASSOCIATED_WITH
353,307,ASSOCIATED_WITH
402,58,ASSOCIATED_WITH
403,307,ASSOCIATED_WITH
404,307,ASSOCIATED_WITH
405,208,ASSOCIATED_WITH
452,2002,ASSOCIATED_WITH
502,307,ASSOCIATED_WITH
503,307,ASSOCIATED_WITH
602,254,ASSOCIATED_WITH
652,254,ASSOCIATED_WITH
702,5,ASSOCIATED_WITH
752,56,ASSOCIATED_WITH
802,3155,ASSOCIATED_WITH
852,3102,ASSOCIATED_WITH
952,307,ASSOCIATED_WITH
1002,255,ASSOCIATED_WITH
1052,2702,ASSOCIATED_WITH
1102,208,ASSOCIATED_WITH
1103,103,ASSOCIATED_WITH
1152,307,ASSOCIATED_WITH
1202,56,ASSOCIATED_WITH
1203,56,ASSOCIATED_WITH
1252,58,ASSOCIATED_WITH
1302,208,ASSOCIATED_WITH
1303,4252,ASSOCIATED_WITH
