start_id,end_id,type
4,904,ASSOCIATED_WITH
53,52,ASSOCIATED_WITH
53,903,ASSOCIATED_WITH
103,603,ASSOCIATED_WITH
205,854,ASSOCIATED_WITH
258,202,ASSOCIATED_WITH
258,205,ASSOCIATED_WITH
307,502,ASSOCIATED_WITH
307,503,ASSOCIATED_WITH
307,1153,ASSOCIATED_WITH
307,1154,ASSOCIATED_WITH
402,702,ASSOCIATED_WITH
402,1252,ASSOCIATED_WITH
605,302,ASSOCIATED_WITH
605,304,ASSOCIATED_WITH
805,107,ASSOCIATED_WITH
953,1,ASSOCIATED_WITH
953,3,ASSOCIATED_WITH
953,105,ASSOCIATED_WITH
953,108,ASSOCIATED_WITH
953,109,ASSOCIATED_WITH
954,2,ASSOCIATED_WITH
1053,102,ASSOCIATED_WITH
1053,104,ASSOCIATED_WITH
1152,106,ASSOCIATED_WITH
1153,110,ASSOCIATED_WITH
1154,112,ASSOCIATED_WITH
1155,113,ASSOCIATED_WITH
1156,114,ASSOCIATED_WITH
1156,115,ASSOCIATED_WITH
1202,152,ASSOCIATED_WITH
1252,206,ASSOCIATED_WITH
1303,952,ASSOCIATED_WITH
1354,252,ASSOCIATED_WITH
1354,254,ASSOCIATED_WITH
1702,556,ASSOCIATED_WITH
2052,1052,ASSOCIATED_WITH
2052,1207,ASSOCIATED_WITH
2360,352,ASSOCIATED_WITH
2361,353,ASSOCIATED_WITH
2362,354,ASSOCIATED_WITH
2402,402,ASSOCIATED_WITH
2456,452,ASSOCIATED_WITH
2553,504,ASSOCIATED_WITH
2653,802,ASSOCIATED_WITH
3154,652,ASSOCIATED_WITH
3552,752,ASSOCIATED_WITH
3805,852,ASSOCIATED_WITH
3806,853,ASSOCIATED_WITH
3852,902,ASSOCIATED_WITH
3952,1002,ASSOCIATED_WITH
4053,1053,ASSOCIATED_WITH
4054,1054,ASSOCIATED_WITH
4102,1102,ASSOCIATED_WITH
4202,1202,ASSOCIATED_WITH
