start_id,unknown,end_id,last_notification_time,type
1,1,402,2024-10-27 02:32:58.261596,ASSOCIATED_WITH
2,1,356,2024-10-27 02:32:55.613858,ASSOCIATED_WITH
3,2,605,2024-10-28 14:23:03.570687,ASSOCIATED_WITH
4,2,356,2024-10-28 14:23:01.437943,ASSOCIATED_WITH
5,3,1702,,ASSOCIATED_WITH
6,3,402,,ASSOCIATED_WITH
7,4,1702,2024-10-29 23:02:34.909352,ASSOCIATED_WITH
8,4,356,2024-10-29 23:02:38.426998,ASSOCIATED_WITH
9,5,653,,ASSOCIATED_WITH
10,5,356,,ASSOCIATED_WITH
11,6,653,,ASSOCIATED_WITH
12,6,103,,ASSOCIATED_WITH
13,7,304,2024-11-22 12:42:38.643159,ASSOCIATED_WITH
14,7,58,2024-10-30 06:18:52.501228,ASSOCIATED_WITH
15,8,1354,2024-11-04 10:10:25.290237,ASSOCIATED_WITH
16,8,206,2024-11-04 10:10:27.557313,ASSOCIATED_WITH
17,9,1302,2024-11-14 10:57:16.029313,ASSOCIATED_WITH
18,9,307,2024-11-14 10:57:14.817554,ASSOCIATED_WITH
19,10,1303,,ASSOCIATED_WITH
20,10,307,,ASSOCIATED_WITH
21,11,56,,ASSOCIATED_WITH
22,11,307,2024-11-08 07:51:44.958051,ASSOCIATED_WITH
23,12,107,,ASSOCIATED_WITH
24,12,307,,ASSOCIATED_WITH
25,13,53,,ASSOCIATED_WITH
26,13,307,,ASSOCIATED_WITH
27,14,402,,ASSOCIATED_WITH
28,14,307,,ASSOCIATED_WITH
29,15,258,2024-11-18 19:56:30.750493,ASSOCIATED_WITH
30,15,303,2024-11-18 19:56:15.620157,ASSOCIATED_WITH
31,16,252,2024-11-12 12:06:13.771676,ASSOCIATED_WITH
32,16,254,,ASSOCIATED_WITH
33,17,1603,,ASSOCIATED_WITH
34,17,58,,ASSOCIATED_WITH
35,18,1605,,ASSOCIATED_WITH
36,18,58,,ASSOCIATED_WITH
37,19,1607,,ASSOCIATED_WITH
38,19,58,,ASSOCIATED_WITH
39,20,107,2024-11-11 12:06:11.085838,ASSOCIATED_WITH
40,20,56,,ASSOCIATED_WITH
41,21,5,2024-11-24 11:56:24.392118,ASSOCIATED_WITH
42,21,58,2024-11-22 07:49:14.528664,ASSOCIATED_WITH
43,22,2053,2024-11-18 10:30:37.644876,ASSOCIATED_WITH
44,22,58,,ASSOCIATED_WITH
45,23,2253,2024-10-29 05:43:55.767687,ASSOCIATED_WITH
46,23,5,2024-10-29 05:43:52.596179,ASSOCIATED_WITH
47,24,107,,ASSOCIATED_WITH
48,24,2453,,ASSOCIATED_WITH
49,25,53,,ASSOCIATED_WITH
50,25,2453,,ASSOCIATED_WITH
51,26,107,2024-11-23 15:20:52.701722,ASSOCIATED_WITH
52,26,5,,ASSOCIATED_WITH
53,27,2455,,ASSOCIATED_WITH
54,27,2453,,ASSOCIATED_WITH
55,28,2052,2024-11-18 10:30:56.362302,ASSOCIATED_WITH
56,28,58,2024-10-25 17:55:40.481795,ASSOCIATED_WITH
57,29,307,2024-11-02 05:59:32.210385,ASSOCIATED_WITH
58,29,208,2024-11-02 05:59:29.661843,ASSOCIATED_WITH
59,30,603,,ASSOCIATED_WITH
60,30,103,,ASSOCIATED_WITH
61,31,2554,,ASSOCIATED_WITH
62,31,103,,ASSOCIATED_WITH
63,32,2555,2024-10-27 01:57:36.537667,ASSOCIATED_WITH
64,32,103,2024-10-27 01:57:39.979651,ASSOCIATED_WITH
65,33,2552,2024-11-22 06:20:33.478612,ASSOCIATED_WITH
66,33,103,,ASSOCIATED_WITH
67,34,605,,ASSOCIATED_WITH
68,34,103,,ASSOCIATED_WITH
69,35,206,2024-11-03 07:19:32.630476,ASSOCIATED_WITH
70,35,206,2024-11-03 07:19:29.683846,ASSOCIATED_WITH
71,36,1602,,ASSOCIATED_WITH
72,36,58,,ASSOCIATED_WITH
73,37,56,2024-10-30 06:18:33.673173,ASSOCIATED_WITH
74,37,58,2024-10-30 06:18:36.975809,ASSOCIATED_WITH
75,38,52,,ASSOCIATED_WITH
76,38,5,,ASSOCIATED_WITH
77,39,1354,2024-11-02 19:35:15.039215,ASSOCIATED_WITH
