start_id,end_id,type
52,2,ASSOCIATED_WITH
54,204,ASSOCIATED_WITH
54,205,ASSOCIATED_WITH
54,206,ASSOCIATED_WITH
54,207,ASSOCIATED_WITH
58,902,ASSOCIATED_WITH
103,602,ASSOCIATED_WITH
208,802,ASSOCIATED_WITH
255,252,ASSOCIATED_WITH
303,402,ASSOCIATED_WITH
303,559,ASSOCIATED_WITH
356,652,ASSOCIATED_WITH
356,752,ASSOCIATED_WITH
452,853,ASSOCIATED_WITH
2254,553,ASSOCIATED_WITH
2354,554,ASSOCIATED_WITH
2355,555,ASSOCIATED_WITH
2356,556,ASSOCIATED_WITH
2357,557,ASSOCIATED_WITH
2358,558,ASSOCIATED_WITH
3552,702,ASSOCIATED_WITH
4052,852,ASSOCIATED_WITH
