start_id,end_id,type
3,5,ASSOCIATED_WITH
5,4,ASSOCIATED_WITH
52,2,ASSOCIATED_WITH
54,352,ASSOCIATED_WITH
56,952,ASSOCIATED_WITH
56,2805,ASSOCIATED_WITH
58,2669,ASSOCIATED_WITH
103,53,ASSOCIATED_WITH
107,2662,ASSOCIATED_WITH
202,2102,ASSOCIATED_WITH
206,202,ASSOCIATED_WITH
207,203,ASSOCIATED_WITH
208,253,ASSOCIATED_WITH
253,252,ASSOCIATED_WITH
254,254,ASSOCIATED_WITH
255,503,ASSOCIATED_WITH
258,552,ASSOCIATED_WITH
302,1402,ASSOCIATED_WITH
303,305,ASSOCIATED_WITH
305,602,ASSOCIATED_WITH
306,1356,ASSOCIATED_WITH
307,2807,ASSOCIATED_WITH
309,1202,ASSOCIATED_WITH
356,2548,ASSOCIATED_WITH
402,1602,ASSOCIATED_WITH
402,2554,ASSOCIATED_WITH
502,502,ASSOCIATED_WITH
503,504,ASSOCIATED_WITH
552,604,ASSOCIATED_WITH
756,752,ASSOCIATED_WITH
802,753,ASSOCIATED_WITH
803,754,ASSOCIATED_WITH
805,854,ASSOCIATED_WITH
1102,2808,ASSOCIATED_WITH
1302,1302,ASSOCIATED_WITH
1303,1303,ASSOCIATED_WITH
1353,1352,ASSOCIATED_WITH
1602,1502,ASSOCIATED_WITH
1603,1503,ASSOCIATED_WITH
1604,1504,ASSOCIATED_WITH
1605,1505,ASSOCIATED_WITH
1606,1506,ASSOCIATED_WITH
1607,1507,ASSOCIATED_WITH
1608,1508,ASSOCIATED_WITH
1653,1552,ASSOCIATED_WITH
1654,1553,ASSOCIATED_WITH
1655,1554,ASSOCIATED_WITH
1656,1555,ASSOCIATED_WITH
1658,1556,ASSOCIATED_WITH
1752,1702,ASSOCIATED_WITH
1802,1752,ASSOCIATED_WITH
1803,1753,ASSOCIATED_WITH
1804,1754,ASSOCIATED_WITH
1852,1802,ASSOCIATED_WITH
1853,1803,ASSOCIATED_WITH
1854,1804,ASSOCIATED_WITH
1902,1852,ASSOCIATED_WITH
1903,1853,ASSOCIATED_WITH
1904,1854,ASSOCIATED_WITH
2052,1902,ASSOCIATED_WITH
2053,1903,ASSOCIATED_WITH
2054,1904,ASSOCIATED_WITH
2152,1952,ASSOCIATED_WITH
2154,1953,ASSOCIATED_WITH
2155,1954,ASSOCIATED_WITH
2156,1955,ASSOCIATED_WITH
2202,2003,ASSOCIATED_WITH
2302,2052,ASSOCIATED_WITH
2554,2152,ASSOCIATED_WITH
2555,2153,ASSOCIATED_WITH
2602,2202,ASSOCIATED_WITH
2603,2203,ASSOCIATED_WITH
2754,2307,ASSOCIATED_WITH
2803,2354,ASSOCIATED_WITH
2804,2353,ASSOCIATED_WITH
2805,2355,ASSOCIATED_WITH
2852,2406,ASSOCIATED_WITH
2952,2658,ASSOCIATED_WITH
3052,2803,ASSOCIATED_WITH
3552,3002,ASSOCIATED_WITH
