start_id,end_id,type
402,255,ASSOCIATED_WITH
452,255,ASSOCIATED_WITH
652,303,ASSOCIATED_WITH
702,207,ASSOCIATED_WITH
752,58,ASSOCIATED_WITH
753,58,ASSOCIATED_WITH
754,58,ASSOCIATED_WITH
804,207,ASSOCIATED_WITH
852,307,ASSOCIATED_WITH
853,307,ASSOCIATED_WITH
854,5,ASSOCIATED_WITH
902,207,ASSOCIATED_WITH
952,56,ASSOCIATED_WITH
1002,303,ASSOCIATED_WITH
1103,356,ASSOCIATED_WITH
1104,56,ASSOCIATED_WITH
1152,356,ASSOCIATED_WITH
1202,58,ASSOCIATED_WITH
1252,58,ASSOCIATED_WITH
1253,58,ASSOCIATED_WITH
1254,58,ASSOCIATED_WITH
1255,58,ASSOCIATED_WITH
1302,56,ASSOCIATED_WITH
1303,56,ASSOCIATED_WITH
1304,56,ASSOCIATED_WITH
1305,56,ASSOCIATED_WITH
1306,56,ASSOCIATED_WITH
1307,56,ASSOCIATED_WITH
1308,307,ASSOCIATED_WITH
1352,56,ASSOCIATED_WITH
1353,56,ASSOCIATED_WITH
1402,56,ASSOCIATED_WITH
1403,56,ASSOCIATED_WITH
1404,56,ASSOCIATED_WITH
1405,56,ASSOCIATED_WITH
1406,56,ASSOCIATED_WITH
1407,56,ASSOCIATED_WITH
1408,56,ASSOCIATED_WITH
1409,58,ASSOCIATED_WITH
1452,58,ASSOCIATED_WITH
1453,208,ASSOCIATED_WITH
1454,103,ASSOCIATED_WITH
1455,103,ASSOCIATED_WITH
1465,356,ASSOCIATED_WITH
