start_id,end_id,type
56,602,ASSOCIATED_WITH
58,652,ASSOCIATED_WITH
58,702,ASSOCIATED_WITH
3,751,ASSOCIATED_WITH
307,756,ASSOCIATED_WITH
103,759,ASSOCIATED_WITH
255,759,ASSOCIATED_WITH
103,760,ASSOCIATED_WITH
307,763,ASSOCIATED_WITH
356,763,ASSOCIATED_WITH
254,765,ASSOCIATED_WITH
254,766,ASSOCIATED_WITH
5,767,ASSOCIATED_WITH
208,767,ASSOCIATED_WITH
303,767,ASSOCIATED_WITH
305,767,ASSOCIATED_WITH
303,768,ASSOCIATED_WITH
254,770,ASSOCIATED_WITH
303,771,ASSOCIATED_WITH
303,772,ASSOCIATED_WITH
303,773,ASSOCIATED_WITH
254,774,ASSOCIATED_WITH
254,775,ASSOCIATED_WITH
254,776,ASSOCIATED_WITH
356,776,ASSOCIATED_WITH
254,777,ASSOCIATED_WITH
56,780,ASSOCIATED_WITH
402,780,ASSOCIATED_WITH
58,781,ASSOCIATED_WITH
356,781,ASSOCIATED_WITH
58,783,ASSOCIATED_WITH
254,784,ASSOCIATED_WITH
254,785,ASSOCIATED_WITH
254,786,ASSOCIATED_WITH
307,789,ASSOCIATED_WITH
56,794,ASSOCIATED_WITH
307,794,ASSOCIATED_WITH
56,798,ASSOCIATED_WITH
56,803,ASSOCIATED_WITH
56,807,ASSOCIATED_WITH
