start_id,end_id,type
402,402,ASSOCIATED_WITH
452,452,ASSOCIATED_WITH
652,702,ASSOCIATED_WITH
702,752,ASSOCIATED_WITH
752,803,ASSOCIATED_WITH
753,804,ASSOCIATED_WITH
754,805,ASSOCIATED_WITH
804,854,ASSOCIATED_WITH
852,902,ASSOCIATED_WITH
853,903,ASSOCIATED_WITH
854,904,ASSOCIATED_WITH
902,1002,ASSOCIATED_WITH
952,1052,ASSOCIATED_WITH
1002,1102,ASSOCIATED_WITH
1103,1203,ASSOCIATED_WITH
1104,1204,ASSOCIATED_WITH
1152,1252,ASSOCIATED_WITH
1202,1302,ASSOCIATED_WITH
1202,1303,ASSOCIATED_WITH
1202,1304,ASSOCIATED_WITH
1252,1352,ASSOCIATED_WITH
1252,1353,ASSOCIATED_WITH
1252,1354,ASSOCIATED_WITH
1253,1355,ASSOCIATED_WITH
1253,1356,ASSOCIATED_WITH
1254,1357,ASSOCIATED_WITH
1254,1358,ASSOCIATED_WITH
1255,1359,ASSOCIATED_WITH
1302,1406,ASSOCIATED_WITH
1303,1409,ASSOCIATED_WITH
1303,1410,ASSOCIATED_WITH
1305,1411,ASSOCIATED_WITH
1352,1453,ASSOCIATED_WITH
1405,1502,ASSOCIATED_WITH
1406,1503,ASSOCIATED_WITH
1407,1504,ASSOCIATED_WITH
1408,1505,ASSOCIATED_WITH
1409,1506,ASSOCIATED_WITH
1453,1552,ASSOCIATED_WITH
1454,1553,ASSOCIATED_WITH
