start_id,end_id,type
1,37,ASSOCIATED_WITH
2,37,ASSOCIATED_WITH
4,37,ASSOCIATED_WITH
52,37,ASSOCIATED_WITH
102,149,ASSOCIATED_WITH
103,149,ASSOCIATED_WITH
152,37,ASSOCIATED_WITH
202,37,ASSOCIATED_WITH
252,149,ASSOCIATED_WITH
253,149,ASSOCIATED_WITH
254,37,ASSOCIATED_WITH
302,149,ASSOCIATED_WITH
353,37,ASSOCIATED_WITH
402,37,ASSOCIATED_WITH
552,149,ASSOCIATED_WITH
553,149,ASSOCIATED_WITH
554,149,ASSOCIATED_WITH
555,149,ASSOCIATED_WITH
602,37,ASSOCIATED_WITH
652,149,ASSOCIATED_WITH
702,149,ASSOCIATED_WITH
752,149,ASSOCIATED_WITH
753,149,ASSOCIATED_WITH
802,37,ASSOCIATED_WITH
803,37,ASSOCIATED_WITH
804,37,ASSOCIATED_WITH
805,37,ASSOCIATED_WITH
852,149,ASSOCIATED_WITH
853,149,ASSOCIATED_WITH
854,149,ASSOCIATED_WITH
902,149,ASSOCIATED_WITH
903,37,ASSOCIATED_WITH
904,37,ASSOCIATED_WITH
1002,149,ASSOCIATED_WITH
1003,37,ASSOCIATED_WITH
1004,37,ASSOCIATED_WITH
1052,37,ASSOCIATED_WITH
1102,149,ASSOCIATED_WITH
1152,37,ASSOCIATED_WITH
1202,37,ASSOCIATED_WITH
1203,37,ASSOCIATED_WITH
1204,149,ASSOCIATED_WITH
1252,37,ASSOCIATED_WITH
1303,37,ASSOCIATED_WITH
1353,37,ASSOCIATED_WITH
1356,37,ASSOCIATED_WITH
1358,37,ASSOCIATED_WITH
1402,37,ASSOCIATED_WITH
1403,37,ASSOCIATED_WITH
1404,37,ASSOCIATED_WITH
1405,37,ASSOCIATED_WITH
1406,37,ASSOCIATED_WITH
1407,37,ASSOCIATED_WITH
1408,149,ASSOCIATED_WITH
1409,37,ASSOCIATED_WITH
1410,149,ASSOCIATED_WITH
1411,37,ASSOCIATED_WITH
1412,37,ASSOCIATED_WITH
1413,37,ASSOCIATED_WITH
1414,37,ASSOCIATED_WITH
1452,37,ASSOCIATED_WITH
1453,37,ASSOCIATED_WITH
1502,37,ASSOCIATED_WITH
1503,37,ASSOCIATED_WITH
1504,37,ASSOCIATED_WITH
1505,37,ASSOCIATED_WITH
