start_id,end_id,type
1,14,ASSOCIATED_WITH
1,15,ASSOCIATED_WITH
2,49,ASSOCIATED_WITH
3,149,ASSOCIATED_WITH
4,14,ASSOCIATED_WITH
4,15,ASSOCIATED_WITH
5,14,ASSOCIATED_WITH
6,149,ASSOCIATED_WITH
6,1039,ASSOCIATED_WITH
7,5013,ASSOCIATED_WITH
8,2108,ASSOCIATED_WITH
52,148,ASSOCIATED_WITH
52,151,ASSOCIATED_WITH
102,5873,ASSOCIATED_WITH
102,394,ASSOCIATED_WITH
103,5873,ASSOCIATED_WITH
152,5873,ASSOCIATED_WITH
152,1098,ASSOCIATED_WITH
153,5873,ASSOCIATED_WITH
202,7027,ASSOCIATED_WITH
256,9916,ASSOCIATED_WITH
256,9992,ASSOCIATED_WITH
256,8452,ASSOCIATED_WITH
