start_id,end_id,type
53,1503.0,ASSOCIATED_WITH
202,,ASSOCIATED_WITH
352,,ASSOCIATED_WITH
353,,ASSOCIATED_WITH
354,,ASSOCIATED_WITH
452,,ASSOCIATED_WITH
453,,ASSOCIATED_WITH
454,,ASSOCIATED_WITH
602,,ASSOCIATED_WITH
603,,ASSOCIATED_WITH
655,1402.0,ASSOCIATED_WITH
702,1312.0,ASSOCIATED_WITH
703,,ASSOCIATED_WITH
704,,ASSOCIATED_WITH
705,,ASSOCIATED_WITH
706,,ASSOCIATED_WITH
707,,ASSOCIATED_WITH
708,1104.0,ASSOCIATED_WITH
752,,ASSOCIATED_WITH
753,,ASSOCIATED_WITH
754,,ASSOCIATED_WITH
755,,ASSOCIATED_WITH
756,,ASSOCIATED_WITH
802,,ASSOCIATED_WITH
852,,ASSOCIATED_WITH
853,,ASSOCIATED_WITH
854,,ASSOCIATED_WITH
902,,ASSOCIATED_WITH
903,,ASSOCIATED_WITH
904,,ASSOCIATED_WITH
952,,ASSOCIATED_WITH
953,,ASSOCIATED_WITH
954,,ASSOCIATED_WITH
1002,1311.0,ASSOCIATED_WITH
1003,1005.0,ASSOCIATED_WITH
1004,1303.0,ASSOCIATED_WITH
1052,1311.0,ASSOCIATED_WITH
1053,,ASSOCIATED_WITH
1054,,ASSOCIATED_WITH
1055,,ASSOCIATED_WITH
1103,1507.0,ASSOCIATED_WITH
1152,1556.0,ASSOCIATED_WITH
1202,,ASSOCIATED_WITH
1203,,ASSOCIATED_WITH
1252,1552.0,ASSOCIATED_WITH
1253,1507.0,ASSOCIATED_WITH
1302,,ASSOCIATED_WITH
